date_ech;valeur
2019-09-12T02:00:00+02:00;3
2019-09-18T02:00:00+02:00;3
2019-09-21T02:00:00+02:00;5
2019-09-22T02:00:00+02:00;4
2019-09-26T02:00:00+02:00;3
2019-09-29T02:00:00+02:00;3
2019-10-06T02:00:00+02:00;3
2019-10-07T02:00:00+02:00;3
2018-11-05T01:00:00+01:00;6
2018-11-08T01:00:00+01:00;3
2018-11-11T01:00:00+01:00;3
2018-11-16T01:00:00+01:00;3
2018-11-20T01:00:00+01:00;4
2018-11-24T01:00:00+01:00;5
2018-11-26T01:00:00+01:00;4
2018-12-02T01:00:00+01:00;3
2018-12-04T01:00:00+01:00;4
2018-12-06T01:00:00+01:00;3
2018-12-13T01:00:00+01:00;4
2018-12-17T01:00:00+01:00;3
2018-12-19T01:00:00+01:00;3
2018-12-30T01:00:00+01:00;3
2019-01-03T01:00:00+01:00;3
2019-01-20T01:00:00+01:00;7
2018-01-11T01:00:00+01:00;4
2018-01-16T01:00:00+01:00;3
2018-01-23T01:00:00+01:00;3
2018-01-25T01:00:00+01:00;3
2018-01-28T01:00:00+01:00;3
2018-02-10T01:00:00+01:00;3
2018-02-18T01:00:00+01:00;6
2018-02-21T01:00:00+01:00;8
2018-03-03T01:00:00+01:00;8
2018-03-05T01:00:00+01:00;4
2018-03-08T01:00:00+01:00;4
2018-03-16T01:00:00+01:00;4
2018-03-17T01:00:00+01:00;4
2018-08-20T02:00:00+02:00;3
2018-09-10T02:00:00+02:00;3
2018-09-12T02:00:00+02:00;2
2018-09-20T02:00:00+02:00;4
2018-09-30T02:00:00+02:00;4
2018-10-04T02:00:00+02:00;3
2018-10-09T02:00:00+02:00;5
2018-10-12T02:00:00+02:00;3
2018-10-16T02:00:00+02:00;6
2018-10-20T02:00:00+02:00;5
2018-10-26T02:00:00+02:00;3
2018-10-29T01:00:00+01:00;3
2018-06-04T02:00:00+02:00;7
2018-06-14T02:00:00+02:00;3
2018-06-20T02:00:00+02:00;3
2018-06-25T02:00:00+02:00;4
2018-07-02T02:00:00+02:00;7
2018-07-04T02:00:00+02:00;6
2018-07-15T02:00:00+02:00;6
2018-07-20T02:00:00+02:00;5
2018-07-22T02:00:00+02:00;6
2018-07-28T02:00:00+02:00;3
2018-07-31T02:00:00+02:00;3
2018-08-02T02:00:00+02:00;5
2018-08-08T02:00:00+02:00;4
2018-08-16T02:00:00+02:00;3
2018-08-17T02:00:00+02:00;3
2018-08-18T02:00:00+02:00;3
2018-03-19T01:00:00+01:00;4
2018-03-27T02:00:00+02:00;4
2018-03-29T02:00:00+02:00;4
2018-04-08T02:00:00+02:00;5
2018-04-21T02:00:00+02:00;9
2018-05-04T02:00:00+02:00;5
2018-05-05T02:00:00+02:00;6
2018-05-11T02:00:00+02:00;4
2018-05-12T02:00:00+02:00;4
2018-05-13T02:00:00+02:00;4
2018-05-19T02:00:00+02:00;4
2018-05-27T02:00:00+02:00;5
2018-05-30T02:00:00+02:00;7
2019-01-21T01:00:00+01:00;8
2019-01-24T01:00:00+01:00;8
2019-01-25T01:00:00+01:00;6
2019-01-29T01:00:00+01:00;4
2019-01-31T01:00:00+01:00;3
2019-02-05T01:00:00+01:00;3
2019-02-06T01:00:00+01:00;3
2019-02-10T01:00:00+01:00;3
2019-02-17T01:00:00+01:00;5
2019-02-18T01:00:00+01:00;5
2019-02-21T01:00:00+01:00;5
2019-02-25T01:00:00+01:00;7
2019-03-01T01:00:00+01:00;6
2019-03-02T01:00:00+01:00;3
2019-03-04T01:00:00+01:00;4
2019-03-08T01:00:00+01:00;3
2019-03-09T01:00:00+01:00;4
2019-03-14T01:00:00+01:00;3
2019-03-18T01:00:00+01:00;3
2019-03-19T01:00:00+01:00;4
2019-03-20T01:00:00+01:00;3
2019-03-21T01:00:00+01:00;4
2019-03-30T01:00:00+01:00;7
2019-07-03T02:00:00+02:00;4
2019-07-09T02:00:00+02:00;4
2019-07-28T02:00:00+02:00;3
2019-08-04T02:00:00+02:00;4
2019-08-06T02:00:00+02:00;3
2019-08-07T02:00:00+02:00;3
2019-08-14T02:00:00+02:00;3
2019-08-16T02:00:00+02:00;3
2019-08-26T02:00:00+02:00;8
2019-08-28T02:00:00+02:00;5
2019-09-01T02:00:00+02:00;4
2019-09-05T02:00:00+02:00;3
2019-09-07T02:00:00+02:00;3
2019-09-08T02:00:00+02:00;3
2019-04-09T02:00:00+02:00;8
2019-04-13T02:00:00+02:00;4
2019-04-15T02:00:00+02:00;5
2019-04-22T02:00:00+02:00;6
2019-04-25T02:00:00+02:00;3
2019-05-07T02:00:00+02:00;4
2019-05-08T02:00:00+02:00;4
2019-05-11T02:00:00+02:00;4
2019-05-14T02:00:00+02:00;4
2019-05-16T02:00:00+02:00;5
2019-05-20T02:00:00+02:00;4
2019-05-22T02:00:00+02:00;4
2019-06-05T02:00:00+02:00;3
2019-06-20T02:00:00+02:00;3
