date;value
2019-12-01;6
2019-11-30;5
2019-11-29;3
2019-11-28;3
2019-11-27;3
2019-11-26;2
2019-11-25;2
2019-11-24;4
2019-11-23;3
2019-11-22;3
2019-11-21;4
2019-11-20;3
2019-11-19;3
2019-11-18;5
2019-11-17;3
2019-11-16;2
2019-11-15;3
2019-11-14;2
2019-11-13;2
2019-11-12;3
2019-11-11;3
2019-11-10;3
2019-11-09;3
2019-11-08;3
2019-11-07;3
2019-11-06;3
2019-11-05;3
2019-11-04;3
2019-11-03;3
2019-11-02;3
2019-11-01;3
2019-10-31;6
2019-10-30;4
2019-10-29;3
2019-10-28;4
2019-10-27;3
2019-10-26;2
2019-10-25;2
2019-10-24;3
2019-10-23;5
2019-10-22;3
2019-10-21;2
2019-10-20;3
2019-10-19;3
2019-10-18;3
2019-10-17;3
2019-10-16;2
2019-10-15;3
2019-10-14;3
2019-10-13;3
2019-10-12;3
2019-10-11;3
2019-10-10;3
2019-10-09;3
2019-10-08;3
2019-10-07;3
2019-10-06;3
2019-10-05;3
2019-10-04;3
2019-10-03;2
2019-10-02;3
2019-10-01;3
2019-09-30;3
2019-09-29;3
2019-09-28;3
2019-09-27;3
2019-09-26;3
2019-09-25;2
2019-09-24;2
2019-09-23;3
2019-09-22;4
2019-09-21;5
2019-09-20;3
2019-09-19;3
2019-09-18;3
2019-09-17;4
2019-09-16;3
2019-09-15;5
2019-09-14;4
2019-09-13;3
2019-09-12;3
2019-09-11;4
2019-09-10;4
2019-09-09;3
2019-09-08;3
2019-09-07;3
2019-09-06;3
2019-09-05;3
2019-09-04;3
2019-09-03;3
2019-09-02;4
2019-09-01;4
2019-08-31;5
2019-08-30;4
2019-08-29;4
2019-08-28;5
2019-08-27;6
2019-08-26;8
2019-08-25;5
2019-08-24;6
2019-08-23;7
2019-08-22;5
2019-08-21;5
2019-08-20;4
2019-08-19;3
2019-08-18;3
2019-08-17;2
2019-08-16;3
2019-08-15;3
2019-08-14;3
2019-08-13;3
2019-08-12;3
2019-08-11;3
2019-08-10;4
2019-08-09;3
2019-08-08;4
2019-08-07;3
2019-08-06;3
2019-08-05;3
2019-08-04;4
2019-08-03;4
2019-08-02;4
2019-08-01;4
2019-07-31;3
2019-07-30;4
2019-07-29;4
2019-07-28;3
2019-07-27;3
2019-07-26;7
2019-07-25;7
2019-07-24;7
2019-07-23;5
2019-07-22;4
2019-07-21;3
2019-07-20;3
2019-07-19;4
2019-07-18;3
2019-07-17;5
2019-07-16;4
2019-07-15;3
2019-07-14;3
2019-07-13;4
2019-07-12;4
2019-07-11;5
2019-07-10;5
2019-07-09;4
2019-07-08;4
2019-07-07;3
2019-07-06;5
2019-07-05;6
2019-07-04;4
2019-07-03;4
2019-07-02;4
2019-07-01;4
2019-06-30;5
2019-06-29;6
2019-06-28;5
2019-06-27;5
2019-06-26;8
2019-06-25;7
2019-06-24;4
2019-06-23;5
2019-06-22;5
2019-06-21;4
2019-06-20;3
2019-06-19;4
2019-06-18;5
