date;t;u
1996-01-01 00:00:00;2.8000000000000114;96.0
1996-01-01 03:00:00;2.1000000000000227;97.0
1996-01-01 06:00:00;2.0;97.0
1996-01-01 09:00:00;2.2000000000000455;97.0
1996-01-01 12:00:00;3.3000000000000114;97.0
1996-01-01 15:00:00;3.7000000000000455;97.0
1996-01-01 18:00:00;3.5;97.0
1996-01-01 21:00:00;3.6000000000000227;97.0
1996-01-02 00:00:00;3.5;97.0
1996-01-02 03:00:00;1.7000000000000455;97.0
1996-01-02 06:00:00;1.1000000000000227;98.0
1996-01-02 09:00:00;0.3900000000000432;98.0
1996-01-02 12:00:00;1.1000000000000227;98.0
1996-01-02 15:00:00;1.1000000000000227;98.0
1996-01-02 18:00:00;0.3900000000000432;98.0
1996-01-02 21:00:00;-0.39999999999997726;98.0
1996-01-03 00:00:00;-0.6099999999999568;98.0
1996-01-03 03:00:00;-0.6099999999999568;98.0
1996-01-03 06:00:00;-0.19999999999998863;98.0
1996-01-03 09:00:00;-0.1099999999999568;98.0
1996-01-03 12:00:00;0.30000000000001137;98.0
1996-01-03 15:00:00;0.0;98.0
1996-01-03 18:00:00;0.10000000000002274;98.0
1996-01-03 21:00:00;0.5;98.0
1996-01-04 00:00:00;-0.1099999999999568;98.0
1996-01-04 03:00:00;-0.5;98.0
1996-01-04 06:00:00;-0.1099999999999568;98.0
1996-01-04 09:00:00;0.5;98.0
1996-01-04 12:00:00;3.0;92.0
1996-01-04 15:00:00;2.890000000000043;88.0
1996-01-04 18:00:00;2.0;80.0
1996-01-04 21:00:00;1.7000000000000455;80.0
1996-01-05 00:00:00;1.5;82.0
1996-01-05 03:00:00;1.7000000000000455;84.0
1996-01-05 06:00:00;1.1000000000000227;87.0
1996-01-05 09:00:00;1.5;85.0
1996-01-05 12:00:00;3.7000000000000455;76.0
1996-01-05 15:00:00;3.890000000000043;80.0
1996-01-05 18:00:00;3.6000000000000227;78.0
1996-01-05 21:00:00;2.8000000000000114;83.0
1996-01-06 00:00:00;2.3000000000000114;84.0
1996-01-06 03:00:00;1.3000000000000114;94.0
1996-01-06 06:00:00;0.8900000000000432;95.0
1996-01-06 09:00:00;1.1000000000000227;95.0
1996-01-06 12:00:00;2.1000000000000227;97.0
1996-01-06 15:00:00;2.8000000000000114;95.0
1996-01-06 18:00:00;2.8000000000000114;93.0
1996-01-06 21:00:00;2.890000000000043;91.0
1996-01-07 00:00:00;4.0;93.0
1996-01-07 03:00:00;5.2000000000000455;95.0
1996-01-07 06:00:00;8.100000000000023;93.0
1996-01-07 09:00:00;8.700000000000045;91.0
1996-01-07 12:00:00;10.700000000000045;84.0
1996-01-07 15:00:00;10.890000000000043;80.0
1996-01-07 18:00:00;8.100000000000023;86.0
1996-01-07 21:00:00;7.0;89.0
1996-01-08 00:00:00;5.800000000000011;93.0
1996-01-08 03:00:00;5.800000000000011;95.0
1996-01-08 06:00:00;7.100000000000023;91.0
1996-01-08 09:00:00;7.0;91.0
1996-01-08 12:00:00;9.600000000000023;85.0
1996-01-08 15:00:00;10.100000000000023;82.0
1996-01-08 18:00:00;8.300000000000011;84.0
1996-01-08 21:00:00;7.890000000000043;81.0
1996-01-09 00:00:00;7.890000000000043;78.0
1996-01-09 03:00:00;7.800000000000011;73.0
1996-01-09 06:00:00;7.300000000000011;80.0
1996-01-09 09:00:00;7.800000000000011;78.0
1996-01-09 12:00:00;8.300000000000011;88.0
1996-01-09 15:00:00;9.5;88.0
1996-01-09 18:00:00;9.200000000000045;89.0
1996-01-09 21:00:00;7.2000000000000455;94.0
1996-01-10 00:00:00;6.2000000000000455;95.0
1996-01-10 03:00:00;5.800000000000011;95.0
1996-01-10 06:00:00;6.5;97.0
1996-01-10 09:00:00;7.5;97.0
1996-01-10 12:00:00;8.800000000000011;97.0
1996-01-10 15:00:00;9.0;95.0
1996-01-10 18:00:00;8.5;94.0
1996-01-10 21:00:00;7.800000000000011;94.0
1996-01-11 00:00:00;7.390000000000043;94.0
1996-01-11 03:00:00;7.2000000000000455;94.0
1996-01-11 06:00:00;6.2000000000000455;93.0
1996-01-11 09:00:00;7.890000000000043;89.0
1996-01-11 12:00:00;8.600000000000023;82.0
1996-01-11 15:00:00;8.300000000000011;82.0
1996-01-11 18:00:00;8.0;86.0
1996-01-11 21:00:00;8.890000000000043;87.0
1996-01-12 00:00:00;9.100000000000023;88.0
1996-01-12 03:00:00;9.200000000000045;88.0
1996-01-12 06:00:00;8.100000000000023;86.0
1996-01-12 09:00:00;8.0;88.0
1996-01-12 12:00:00;10.300000000000011;79.0
1996-01-12 18:00:00;8.5;85.0
1996-01-12 21:00:00;7.800000000000011;87.0
1996-01-13 00:00:00;7.300000000000011;88.0
1996-01-13 03:00:00;7.800000000000011;88.0
1996-01-13 06:00:00;7.390000000000043;88.0
1996-01-13 09:00:00;7.600000000000023;89.0
1996-01-13 12:00:00;10.0;84.0
1996-01-13 15:00:00;8.700000000000045;86.0
1996-01-13 18:00:00;8.0;85.0
1996-01-13 21:00:00;7.800000000000011;84.0
1996-01-14 00:00:00;7.390000000000043;88.0
1996-01-14 03:00:00;5.100000000000023;92.0
1996-01-14 06:00:00;4.300000000000011;92.0
1996-01-14 09:00:00;6.7000000000000455;85.0
1996-01-14 12:00:00;11.100000000000023;71.0
1996-01-14 15:00:00;13.600000000000023;66.0
1996-01-14 18:00:00;7.800000000000011;84.0
1996-01-14 21:00:00;6.390000000000043;84.0
1996-01-15 00:00:00;3.7000000000000455;93.0
1996-01-15 03:00:00;3.390000000000043;93.0
1996-01-15 06:00:00;2.0;93.0
1996-01-15 09:00:00;3.5;92.0
1996-01-15 12:00:00;8.390000000000043;77.0
1996-01-15 15:00:00;9.300000000000011;79.0
1996-01-15 18:00:00;5.800000000000011;90.0
1996-01-15 21:00:00;4.100000000000023;92.0
1996-01-16 00:00:00;2.8000000000000114;92.0
1996-01-16 03:00:00;0.8000000000000114;95.0
1996-01-16 06:00:00;1.1000000000000227;96.0
1996-01-16 09:00:00;1.6000000000000227;97.0
1996-01-16 12:00:00;2.8000000000000114;97.0
1996-01-16 15:00:00;3.390000000000043;97.0
1996-01-16 18:00:00;3.2000000000000455;97.0
1996-01-16 21:00:00;2.390000000000043;97.0
1996-01-17 00:00:00;1.5;97.0
1996-01-17 03:00:00;1.1000000000000227;97.0
1996-01-17 06:00:00;0.5;98.0
1996-01-17 09:00:00;0.3900000000000432;99.0
1996-01-17 12:00:00;1.3000000000000114;98.0
1996-01-17 15:00:00;1.8900000000000432;99.0
1996-01-17 18:00:00;1.3000000000000114;99.0
1996-01-17 21:00:00;0.8000000000000114;98.0
1996-01-18 00:00:00;-0.5;98.0
1996-01-18 03:00:00;-0.7999999999999545;98.0
1996-01-18 06:00:00;-0.1099999999999568;98.0
1996-01-18 09:00:00;0.20000000000004547;98.0
1996-01-18 12:00:00;1.1000000000000227;98.0
1996-01-18 15:00:00;1.1000000000000227;98.0
1996-01-18 18:00:00;0.7000000000000455;98.0
1996-01-18 21:00:00;0.6000000000000227;98.0
1996-01-19 00:00:00;0.20000000000004547;98.0
1996-01-19 03:00:00;-0.8999999999999773;98.0
1996-01-19 06:00:00;-1.3999999999999773;98.0
1996-01-19 09:00:00;-0.6999999999999886;98.0
1996-01-19 12:00:00;0.8000000000000114;98.0
1996-01-19 15:00:00;2.3000000000000114;91.0
1996-01-19 18:00:00;0.5;91.0
1996-01-19 21:00:00;-0.1099999999999568;94.0
1996-01-20 00:00:00;-1.1999999999999886;94.0
1996-01-20 03:00:00;-1.8999999999999773;94.0
1996-01-20 06:00:00;-1.5;95.0
1996-01-20 09:00:00;-1.1999999999999886;94.0
1996-01-20 12:00:00;-0.6099999999999568;88.0
1996-01-20 15:00:00;0.0;87.0
1996-01-20 18:00:00;0.30000000000001137;85.0
1996-01-20 21:00:00;0.6000000000000227;85.0
1996-01-21 00:00:00;0.30000000000001137;86.0
1996-01-21 03:00:00;-0.1099999999999568;82.0
1996-01-21 06:00:00;-0.19999999999998863;82.0
1996-01-21 09:00:00;-0.6099999999999568;85.0
1996-01-21 12:00:00;1.3000000000000114;77.0
1996-01-21 15:00:00;1.8000000000000114;78.0
1996-01-21 18:00:00;0.3900000000000432;83.0
1996-01-21 21:00:00;-0.1099999999999568;83.0
1996-01-22 00:00:00;-0.6999999999999886;85.0
1996-01-22 03:00:00;-0.7999999999999545;85.0
1996-01-22 06:00:00;0.3900000000000432;83.0
1996-01-22 09:00:00;1.3900000000000432;82.0
1996-01-22 12:00:00;4.390000000000043;65.0
1996-01-22 15:00:00;4.890000000000043;62.0
1996-01-22 18:00:00;2.6000000000000227;68.0
1996-01-22 21:00:00;0.8000000000000114;81.0
1996-01-23 00:00:00;1.0;77.0
1996-01-23 03:00:00;1.1000000000000227;81.0
1996-01-23 06:00:00;1.2000000000000455;84.0
1996-01-23 09:00:00;1.2000000000000455;78.0
1996-01-23 12:00:00;1.3000000000000114;77.0
1996-01-23 15:00:00;1.3900000000000432;81.0
1996-01-23 18:00:00;0.6000000000000227;88.0
1996-01-23 21:00:00;0.6000000000000227;93.0
1996-01-24 00:00:00;0.8000000000000114;92.0
1996-01-24 03:00:00;0.7000000000000455;92.0
1996-01-24 06:00:00;0.3900000000000432;92.0
1996-01-24 09:00:00;0.8000000000000114;90.0
1996-01-24 12:00:00;3.1000000000000227;85.0
1996-01-24 15:00:00;3.2000000000000455;82.0
1996-01-24 18:00:00;1.3000000000000114;78.0
1996-01-24 21:00:00;0.30000000000001137;76.0
1996-01-25 00:00:00;-0.6999999999999886;76.0
1996-01-25 03:00:00;-1.0;73.0
1996-01-25 06:00:00;-2.8999999999999773;68.0
1996-01-25 09:00:00;-3.609999999999957;66.0
1996-01-25 12:00:00;-4.5;65.0
1996-01-25 15:00:00;-4.7999999999999545;62.0
1996-01-25 18:00:00;-5.399999999999977;62.0
1996-01-25 21:00:00;-5.109999999999957;56.0
1996-01-26 00:00:00;-5.399999999999977;54.0
1996-01-26 03:00:00;-5.699999999999989;56.0
1996-01-26 06:00:00;-6.199999999999989;54.0
1996-01-26 09:00:00;-6.7999999999999545;58.0
1996-01-26 12:00:00;-6.7999999999999545;64.0
1996-01-26 15:00:00;-6.899999999999977;66.0
1996-01-26 18:00:00;-7.399999999999977;75.0
1996-01-26 21:00:00;-7.2999999999999545;73.0
1996-01-27 00:00:00;-7.399999999999977;75.0
1996-01-27 03:00:00;-7.199999999999989;77.0
1996-01-27 06:00:00;-6.609999999999957;81.0
1996-01-27 09:00:00;-5.609999999999957;81.0
1996-01-27 12:00:00;-3.5;80.0
1996-01-27 15:00:00;-1.6099999999999568;82.0
1996-01-27 18:00:00;-0.39999999999997726;81.0
1996-01-27 21:00:00;-0.6099999999999568;82.0
1996-01-28 00:00:00;-1.2999999999999545;91.0
1996-01-28 03:00:00;-2.6999999999999886;90.0
1996-01-28 06:00:00;-4.899999999999977;86.0
1996-01-28 09:00:00;-4.2999999999999545;84.0
1996-01-28 12:00:00;-0.6099999999999568;75.0
1996-01-28 15:00:00;-0.7999999999999545;71.0
1996-01-28 18:00:00;-2.1999999999999886;77.0
1996-01-28 21:00:00;-2.609999999999957;78.0
1996-01-29 00:00:00;-2.2999999999999545;80.0
1996-01-29 03:00:00;-2.0;80.0
1996-01-29 06:00:00;-2.109999999999957;80.0
1996-01-29 09:00:00;-3.7999999999999545;84.0
1996-01-29 12:00:00;-0.6999999999999886;72.0
1996-01-29 15:00:00;0.8000000000000114;71.0
1996-01-29 18:00:00;-0.19999999999998863;75.0
1996-01-29 21:00:00;-1.7999999999999545;85.0
1996-01-30 00:00:00;-3.0;85.0
1996-01-30 03:00:00;-3.609999999999957;88.0
1996-01-30 06:00:00;-4.0;88.0
1996-01-30 09:00:00;-3.5;89.0
1996-01-30 12:00:00;0.5;80.0
1996-01-30 15:00:00;1.3900000000000432;75.0
1996-01-30 18:00:00;-0.7999999999999545;85.0
1996-01-30 21:00:00;-1.1999999999999886;85.0
1996-01-31 00:00:00;-3.2999999999999545;87.0
1996-01-31 03:00:00;-3.6999999999999886;81.0
1996-01-31 06:00:00;-5.199999999999989;82.0
1996-01-31 09:00:00;-3.609999999999957;75.0
1996-01-31 12:00:00;0.6000000000000227;63.0
1996-01-31 15:00:00;2.890000000000043;53.0
1996-01-31 18:00:00;0.8000000000000114;58.0
1996-01-31 21:00:00;0.0;56.0
1996-02-01 00:00:00;-2.2999999999999545;66.0
1996-02-01 03:00:00;-3.6999999999999886;68.0
1996-02-01 06:00:00;-4.199999999999989;68.0
1996-02-01 09:00:00;-2.1999999999999886;60.0
1996-02-01 12:00:00;2.1000000000000227;61.0
1996-02-01 15:00:00;4.100000000000023;68.0
1996-02-01 18:00:00;0.3900000000000432;84.0
1996-02-01 21:00:00;-1.1999999999999886;87.0
1996-02-02 00:00:00;-2.609999999999957;87.0
