Date;temperature;humidite;IQ;IQ_J+1
2019-12-01 00:00:00;2.8;87.0;6;5
2019-12-01 03:00:00;2.5;84.0;6;5
2019-12-01 06:00:00;2.2;85.0;6;5
2019-12-01 09:00:00;2.4;81.0;6;5
2019-12-01 12:00:00;3.8;75.0;6;5
2019-12-01 15:00:00;4.1;72.0;6;5
2019-12-01 18:00:00;3.1;76.0;6;5
2019-12-01 21:00:00;1.4;84.0;6;5
2019-11-30 00:00:00;2.1;94.0;4;6
2019-11-30 03:00:00;0.6;98.0;4;6
2019-11-30 06:00:00;-0.1;99.0;4;6
2019-11-30 09:00:00;0.1;99.0;4;6
2019-11-30 12:00:00;5.9;83.0;4;6
2019-11-30 15:00:00;5.7;80.0;4;6
2019-11-30 18:00:00;4.4;83.0;4;6
2019-11-30 21:00:00;3.5;85.0;4;6
2019-11-29 00:00:00;8.3;97.0;3;4
2019-11-29 03:00:00;7.5;91.0;3;4
2019-11-29 06:00:00;6.7;95.0;3;4
2019-11-29 09:00:00;6.3;90.0;3;4
2019-11-29 12:00:00;8.5;73.0;3;4
2019-11-29 15:00:00;7.9;71.0;3;4
2019-11-29 18:00:00;5.5;85.0;3;4
2019-11-29 21:00:00;4.0;91.0;3;4
2019-11-28 00:00:00;9.7;85.0;3;3
2019-11-28 03:00:00;9.6;88.0;3;3
2019-11-28 06:00:00;9.4;91.0;3;3
2019-11-28 09:00:00;9.7;93.0;3;3
2019-11-28 12:00:00;11.2;80.0;3;3
2019-11-28 15:00:00;10.6;79.0;3;3
2019-11-28 18:00:00;9.6;84.0;3;3
2019-11-28 21:00:00;9.0;96.0;3;3
2019-11-27 00:00:00;10.7;95.0;3;3
2019-11-27 03:00:00;10.1;97.0;3;3
2019-11-27 06:00:00;10.4;87.0;3;3
2019-11-27 09:00:00;10.5;84.0;3;3
2019-11-27 12:00:00;11.0;82.0;3;3
2019-11-27 15:00:00;10.8;89.0;3;3
2019-11-27 18:00:00;10.8;86.0;3;3
2019-11-27 21:00:00;10.4;89.0;3;3
2019-11-26 00:00:00;9.4;97.0;2;3
2019-11-26 03:00:00;10.1;98.0;2;3
2019-11-26 06:00:00;10.4;95.0;2;3
2019-11-26 09:00:00;10.8;88.0;2;3
2019-11-26 12:00:00;10.8;92.0;2;3
2019-11-26 15:00:00;11.7;89.0;2;3
2019-11-26 18:00:00;11.4;90.0;2;3
2019-11-26 21:00:00;11.2;91.0;2;3
2019-11-25 00:00:00;6.7;97.0;2;2
2019-11-25 03:00:00;6.2;95.0;2;2
2019-11-25 06:00:00;7.6;93.0;2;2
2019-11-25 09:00:00;7.6;95.0;2;2
2019-11-25 12:00:00;9.0;89.0;2;2
2019-11-25 15:00:00;10.8;80.0;2;2
2019-11-25 18:00:00;9.5;85.0;2;2
2019-11-25 21:00:00;9.5;86.0;2;2
2019-11-24 00:00:00;5.6;89.0;4;2
2019-11-24 03:00:00;4.1;94.0;4;2
2019-11-24 06:00:00;6.5;99.0;4;2
2019-11-24 09:00:00;6.7;100.0;4;2
2019-11-24 12:00:00;7.7;99.0;4;2
2019-11-24 15:00:00;9.3;92.0;4;2
2019-11-24 18:00:00;8.7;95.0;4;2
2019-11-24 21:00:00;7.0;91.0;4;2
2019-11-23 00:00:00;9.4;78.0;3;4
2019-11-23 03:00:00;9.9;77.0;3;4
2019-11-23 06:00:00;8.7;90.0;3;4
2019-11-23 09:00:00;11.1;79.0;3;4
2019-11-23 12:00:00;9.6;79.0;3;4
2019-11-23 15:00:00;8.6;77.0;3;4
2019-11-23 18:00:00;7.0;83.0;3;4
2019-11-23 21:00:00;5.9;87.0;3;4
2019-11-22 00:00:00;6.1;92.0;3;3
2019-11-22 03:00:00;6.8;88.0;3;3
2019-11-22 06:00:00;7.4;86.0;3;3
2019-11-22 09:00:00;7.5;83.0;3;3
2019-11-22 12:00:00;10.3;73.0;3;3
2019-11-22 15:00:00;9.5;74.0;3;3
2019-11-22 18:00:00;7.7;82.0;3;3
2019-11-22 21:00:00;8.7;76.0;3;3
2019-11-21 00:00:00;-0.9;91.0;4;3
2019-11-21 03:00:00;-0.4;92.0;4;3
2019-11-21 06:00:00;0.0;93.0;4;3
2019-11-21 09:00:00;1.2;95.0;4;3
2019-11-21 12:00:00;3.5;90.0;4;3
2019-11-21 15:00:00;6.2;82.0;4;3
2019-11-21 18:00:00;3.3;91.0;4;3
2019-11-21 21:00:00;4.3;92.0;4;3
2019-11-20 00:00:00;1.3;95.0;3;4
2019-11-20 03:00:00;-0.8;95.0;3;4
2019-11-20 06:00:00;-1.4;94.0;3;4
2019-11-20 09:00:00;1.0;89.0;3;4
2019-11-20 12:00:00;4.8;77.0;3;4
2019-11-20 15:00:00;5.2;75.0;3;4
2019-11-20 18:00:00;2.1;86.0;3;4
2019-11-20 21:00:00;0.2;91.0;3;4
2019-11-19 00:00:00;4.0;90.0;3;3
2019-11-19 03:00:00;2.3;95.0;3;3
2019-11-19 06:00:00;1.4;97.0;3;3
2019-11-19 09:00:00;2.8;93.0;3;3
2019-11-19 12:00:00;6.4;71.0;3;3
2019-11-19 15:00:00;6.8;69.0;3;3
2019-11-19 18:00:00;3.3;85.0;3;3
2019-11-19 21:00:00;1.7;95.0;3;3
2019-11-18 00:00:00;3.5;88.0;5;3
2019-11-18 03:00:00;2.9;92.0;5;3
2019-11-18 06:00:00;3.9;91.0;5;3
2019-11-18 09:00:00;5.3;96.0;5;3
2019-11-18 12:00:00;7.4;94.0;5;3
2019-11-18 15:00:00;8.3;87.0;5;3
2019-11-18 18:00:00;6.4;84.0;5;3
2019-11-18 21:00:00;5.5;87.0;5;3
2019-11-17 00:00:00;5.4;88.0;3;5
2019-11-17 03:00:00;3.1;92.0;3;5
2019-11-17 06:00:00;3.4;95.0;3;5
2019-11-17 09:00:00;4.4;89.0;3;5
2019-11-17 12:00:00;8.3;67.0;3;5
2019-11-17 15:00:00;7.4;70.0;3;5
2019-11-17 18:00:00;5.6;79.0;3;5
2019-11-17 21:00:00;4.6;85.0;3;5
2019-11-16 00:00:00;2.7;90.0;2;3
2019-11-16 03:00:00;4.1;87.0;2;3
2019-11-16 06:00:00;3.8;86.0;2;3
2019-11-16 09:00:00;4.0;85.0;2;3
2019-11-16 12:00:00;5.9;81.0;2;3
2019-11-16 15:00:00;6.7;79.0;2;3
2019-11-16 18:00:00;6.0;85.0;2;3
2019-11-16 21:00:00;5.6;88.0;2;3
2019-11-15 00:00:00;4.2;92.0;3;2
2019-11-15 03:00:00;4.6;92.0;3;2
2019-11-15 06:00:00;5.2;87.0;3;2
2019-11-15 09:00:00;4.1;87.0;3;2
2019-11-15 12:00:00;3.7;88.0;3;2
2019-11-15 15:00:00;4.0;86.0;3;2
2019-11-15 18:00:00;4.4;86.0;3;2
2019-11-15 21:00:00;4.3;85.0;3;2
2019-11-14 00:00:00;5.1;90.0;2;3
2019-11-14 03:00:00;5.8;85.0;2;3
2019-11-14 06:00:00;4.4;89.0;2;3
2019-11-14 09:00:00;5.1;92.0;2;3
2019-11-14 12:00:00;6.7;73.0;2;3
2019-11-14 15:00:00;6.7;77.0;2;3
2019-11-14 18:00:00;5.3;86.0;2;3
2019-11-14 21:00:00;3.3;93.0;2;3
2019-11-13 00:00:00;5.1;93.0;2;2
2019-11-13 03:00:00;6.3;92.0;2;2
2019-11-13 06:00:00;6.6;90.0;2;2
2019-11-13 09:00:00;7.3;85.0;2;2
2019-11-13 12:00:00;9.8;68.0;2;2
2019-11-13 15:00:00;8.4;81.0;2;2
2019-11-13 18:00:00;6.9;86.0;2;2
2019-11-13 21:00:00;5.7;90.0;2;2
2019-11-12 00:00:00;5.4;86.0;3;2
2019-11-12 03:00:00;4.4;88.0;3;2
2019-11-12 06:00:00;2.9;90.0;3;2
2019-11-12 09:00:00;4.1;90.0;3;2
2019-11-12 12:00:00;7.2;77.0;3;2
2019-11-12 15:00:00;7.2;75.0;3;2
2019-11-12 18:00:00;5.2;81.0;3;2
2019-11-12 21:00:00;4.9;91.0;3;2
2019-11-11 00:00:00;5.4;95.0;3;3
2019-11-11 03:00:00;6.7;90.0;3;3
2019-11-11 06:00:00;6.4;88.0;3;3
2019-11-11 09:00:00;5.9;88.0;3;3
2019-11-11 12:00:00;6.8;91.0;3;3
2019-11-11 15:00:00;8.0;79.0;3;3
2019-11-11 18:00:00;5.1;87.0;3;3
2019-11-11 21:00:00;4.8;90.0;3;3
2019-11-10 00:00:00;3.3;95.0;3;3
2019-11-10 03:00:00;3.1;96.0;3;3
2019-11-10 06:00:00;2.5;95.0;3;3
2019-11-10 09:00:00;3.8;89.0;3;3
2019-11-10 12:00:00;7.9;75.0;3;3
2019-11-10 15:00:00;9.0;73.0;3;3
2019-11-10 18:00:00;4.6;90.0;3;3
2019-11-10 21:00:00;2.9;94.0;3;3
2019-11-09 00:00:00;4.7;96.0;3;3
2019-11-09 03:00:00;4.1;97.0;3;3
2019-11-09 06:00:00;4.1;95.0;3;3
2019-11-09 09:00:00;5.7;90.0;3;3
2019-11-09 12:00:00;8.9;65.0;3;3
2019-11-09 15:00:00;8.7;76.0;3;3
2019-11-09 18:00:00;4.5;90.0;3;3
2019-11-09 21:00:00;3.0;91.0;3;3
2019-11-08 00:00:00;3.3;91.0;3;3
2019-11-08 03:00:00;2.4;95.0;3;3
2019-11-08 06:00:00;1.9;97.0;3;3
2019-11-08 09:00:00;4.5;97.0;3;3
2019-11-08 12:00:00;7.6;83.0;3;3
2019-11-08 15:00:00;6.7;85.0;3;3
2019-11-08 18:00:00;4.6;96.0;3;3
2019-11-08 21:00:00;3.1;97.0;3;3
2019-11-07 00:00:00;8.1;97.0;3;3
2019-11-07 03:00:00;8.1;94.0;3;3
2019-11-07 06:00:00;8.7;93.0;3;3
2019-11-07 09:00:00;8.7;95.0;3;3
2019-11-07 12:00:00;10.5;74.0;3;3
2019-11-07 15:00:00;9.0;74.0;3;3
2019-11-07 18:00:00;5.6;87.0;3;3
2019-11-07 21:00:00;5.1;86.0;3;3
2019-11-06 00:00:00;7.5;98.0;3;3
2019-11-06 03:00:00;8.2;98.0;3;3
2019-11-06 06:00:00;9.4;97.0;3;3
2019-11-06 09:00:00;9.5;96.0;3;3
2019-11-06 12:00:00;9.0;91.0;3;3
2019-11-06 15:00:00;9.9;82.0;3;3
2019-11-06 18:00:00;7.8;90.0;3;3
2019-11-06 21:00:00;7.0;96.0;3;3
2019-11-05 00:00:00;8.9;90.0;3;3
2019-11-05 03:00:00;7.7;91.0;3;3
2019-11-05 06:00:00;7.0;93.0;3;3
2019-11-05 09:00:00;8.6;89.0;3;3
2019-11-05 12:00:00;10.6;78.0;3;3
2019-11-05 15:00:00;11.4;74.0;3;3
2019-11-05 18:00:00;10.1;83.0;3;3
2019-11-05 21:00:00;8.1;93.0;3;3
2019-11-04 00:00:00;10.7;93.0;3;3
2019-11-04 03:00:00;9.5;87.0;3;3
2019-11-04 06:00:00;9.6;94.0;3;3
2019-11-04 09:00:00;10.8;91.0;3;3
2019-11-04 12:00:00;12.5;75.0;3;3
2019-11-04 15:00:00;12.8;75.0;3;3
2019-11-04 18:00:00;9.0;89.0;3;3
2019-11-04 21:00:00;9.0;91.0;3;3
2019-11-03 00:00:00;10.1;87.0;3;3
2019-11-03 03:00:00;9.6;90.0;3;3
2019-11-03 06:00:00;9.6;92.0;3;3
2019-11-03 09:00:00;10.3;96.0;3;3
2019-11-03 12:00:00;10.9;97.0;3;3
2019-11-03 15:00:00;11.4;90.0;3;3
2019-11-03 18:00:00;9.1;93.0;3;3
2019-11-03 21:00:00;9.7;91.0;3;3
2019-11-02 00:00:00;15.3;92.0;3;3
2019-11-02 03:00:00;15.0;84.0;3;3
2019-11-02 06:00:00;13.1;91.0;3;3
2019-11-02 09:00:00;10.9;82.0;3;3
2019-11-02 12:00:00;14.8;61.0;3;3
2019-11-02 15:00:00;14.0;59.0;3;3
2019-11-02 18:00:00;12.7;67.0;3;3
2019-11-02 21:00:00;11.6;76.0;3;3
2019-11-01 00:00:00;5.1;92.0;3;3
2019-11-01 03:00:00;6.8;92.0;3;3
2019-11-01 06:00:00;8.2;94.0;3;3
2019-11-01 09:00:00;9.4;97.0;3;3
2019-11-01 12:00:00;11.9;97.0;3;3
2019-11-01 15:00:00;13.3;97.0;3;3
2019-11-01 18:00:00;13.9;97.0;3;3
2019-11-01 21:00:00;14.9;94.0;3;3
2019-10-31 00:00:00;3.8;88.0;6;3
2019-10-31 03:00:00;2.6;91.0;6;3
2019-10-31 06:00:00;2.1;91.0;6;3
2019-10-31 09:00:00;4.8;85.0;6;3
2019-10-31 12:00:00;8.9;75.0;6;3
2019-10-31 15:00:00;10.2;73.0;6;3
2019-10-31 18:00:00;7.3;84.0;6;3
2019-10-31 21:00:00;5.5;88.0;6;3
