Date;temperatureMeteo;humiditeMeteo;temperatureRuche;humiditeRuche
2019-05-22 21:00:00;14.5;57.0;15.6;57.4
2019-05-23 00:00:00;10.2;77.0;13.44;60.08
2019-05-23 03:00:00;8.6;85.0;10.05;64.75
2019-05-23 06:00:00;11.8;79.0;11.12;67.64
2019-05-23 09:00:00;18.7;41.0;20.23;54.42
2019-05-23 12:00:00;21.1;41.0;30.57;31.25
2019-05-23 15:00:00;21.6;43.0;30.79;27.75
2019-05-23 18:00:00;20.8;48.0;25.62;33.42
2019-05-23 21:00:00;17.0;61.0;20.49;40.42
2019-05-24 00:00:00;13.7;76.0;16.9;49.58
2019-05-24 03:00:00;13.0;76.0;15.18;51.45
2019-05-24 06:00:00;12.7;71.0;14.3;54.83
2019-05-24 09:00:00;16.7;63.0;21.27;51.5
2019-05-24 12:00:00;20.8;58.0;33.8;30.91
2019-05-24 15:00:00;21.3;42.0;30.42;28.17
2019-05-24 18:00:00;19.7;47.0;23.04;34.25
2019-05-24 21:00:00;15.5;61.0;17.72;42.08
2019-05-25 00:00:00;12.2;78.0;14.27;50.5
2019-05-25 03:00:00;10.9;83.0;12.58;58.33
2019-05-25 06:00:00;12.6;85.0;13.43;63.5
2019-05-25 09:00:00;16.5;79.0;19.08;61.45
2019-05-25 12:00:00;17.8;63.0;25.27;49.08
2019-05-25 15:00:00;19.0;55.0;24.84;41.33
2019-05-25 18:00:00;18.0;52.0;20.88;41.36
2019-05-25 21:00:00;14.6;74.0;17.35;49.33
2019-05-26 00:00:00;11.5;87.0;13.64;62.42
2019-05-26 03:00:00;9.8;94.0;11.9;72.25
2019-05-26 06:00:00;13.6;92.0;14.05;76.67
2019-05-26 09:00:00;17.6;73.0;21.62;62.42
2019-05-26 12:00:00;17.5;71.0;22.83;52.08
2019-05-26 15:00:00;17.6;66.0;23.17;48.18
2019-05-26 18:00:00;16.0;74.0;19.48;55.83
2019-05-26 21:00:00;14.4;88.0;15.28;77.67
2019-05-27 00:00:00;13.9;97.0;14.52;84.55
2019-05-27 03:00:00;13.6;96.0;13.92;86.83
2019-05-27 06:00:00;13.3;95.0;13.99;87.17
2019-05-27 09:00:00;17.9;52.0;20.2;74.25
2019-05-27 12:00:00;19.1;47.0;25.84;47.58
2019-05-27 15:00:00;20.0;41.0;24.54;36.83
2019-05-27 18:00:00;16.2;60.0;19.87;44.42
2019-05-27 21:00:00;12.8;76.0;14.75;59.82
2019-05-28 00:00:00;12.4;84.0;12.6;71.92
2019-05-28 03:00:00;12.0;81.0;12.21;75.83
2019-05-28 06:00:00;12.0;78.0;12.64;75.36
2019-05-28 09:00:00;12.6;82.0;15.54;71.67
2019-05-28 12:00:00;14.4;70.0;23.23;51.0
2019-05-28 15:00:00;15.7;57.0;22.68;43.5
2019-05-28 18:00:00;14.7;62.0;18.65;46.25
2019-05-28 21:00:00;11.6;80.0;13.33;54.42
2019-05-29 00:00:00;9.5;87.0;10.1;60.67
2019-05-29 03:00:00;8.6;89.0;8.01;65.64
2019-05-29 06:00:00;11.3;82.0;9.78;68.08
2019-05-29 09:00:00;15.0;62.0;18.31;58.0
2019-05-29 12:00:00;18.7;45.0;29.89;30.09
2019-05-29 15:00:00;19.1;46.0;27.62;27.0
2019-05-29 18:00:00;16.9;55.0;20.73;39.5
2019-05-29 21:00:00;14.4;72.0;16.88;53.58
2019-05-30 00:00:00;13.5;87.0;14.26;80.33
2019-05-30 03:00:00;14.3;86.0;14.57;86.08
2019-05-30 06:00:00;15.0;87.0;15.36;88.17
2019-05-30 09:00:00;15.9;83.0;17.62;82.82
2019-05-30 12:00:00;18.3;72.0;21.71;69.25
2019-05-30 15:00:00;21.5;53.0;26.14;46.92
2019-05-30 18:00:00;20.1;51.0;21.64;48.55
2019-05-30 21:00:00;15.9;71.0;18.44;57.33
2019-05-31 00:00:00;13.7;81.0;14.73;68.75
2019-05-31 03:00:00;11.0;91.0;12.58;76.17
2019-05-31 06:00:00;14.2;80.0;13.31;80.17
2019-05-31 09:00:00;16.6;72.0;18.7;69.5
2019-05-31 12:00:00;19.1;58.0;24.8;50.5
2019-05-31 15:00:00;22.4;49.0;28.59;36.0
2019-05-31 18:00:00;22.4;51.0;23.66;43.25
2019-05-31 21:00:00;16.4;73.0;19.29;51.0
2019-06-01 00:00:00;13.6;86.0;16.02;56.55
2019-06-01 03:00:00;12.2;94.0;14.35;63.08
2019-06-01 06:00:00;15.8;82.0;15.44;68.17
2019-06-01 09:00:00;22.2;61.0;24.69;56.83
2019-06-01 12:00:00;25.8;48.0;36.28;31.08
2019-06-01 15:00:00;27.2;44.0;35.31;28.0
2019-06-01 18:00:00;26.7;49.0;28.74;37.33
2019-06-01 21:00:00;21.3;67.0;24.96;47.45
2019-06-02 00:00:00;18.2;79.0;21.82;59.0
2019-06-02 03:00:00;15.7;87.0;18.95;66.83
2019-06-02 06:00:00;19.9;74.0;19.56;69.27
2019-06-02 09:00:00;26.4;51.0;27.09;52.08
2019-06-02 12:00:00;30.2;33.0;38.46;25.83
2019-06-02 15:00:00;30.9;33.0;37.39;23.08
2019-06-02 18:00:00;26.0;37.0;29.95;30.83
2019-06-02 21:00:00;20.5;55.0;24.05;40.67
2019-06-03 00:00:00;17.4;71.0;20.32;48.58
2019-06-03 03:00:00;16.2;80.0;18.17;59.0
2019-06-03 06:00:00;16.3;72.0;17.55;64.33
2019-06-03 09:00:00;16.7;66.0;20.09;56.67
2019-06-03 12:00:00;18.5;58.0;23.18;45.18
2019-06-03 15:00:00;18.5;58.0;23.79;40.75
2019-06-03 18:00:00;18.6;50.0;21.41;41.33
2019-06-03 21:00:00;16.0;56.0;17.2;45.5
2019-06-04 00:00:00;11.5;73.0;14.12;51.25
2019-06-04 03:00:00;10.5;81.0;12.32;56.75
2019-06-04 06:00:00;14.2;71.0;14.35;59.67
2019-06-04 09:00:00;18.4;71.0;20.56;55.0
2019-06-04 12:00:00;20.6;72.0;23.52;55.33
2019-06-04 15:00:00;26.5;55.0;27.67;48.75
2019-06-04 18:00:00;19.1;91.0;23.12;70.33
2019-06-04 21:00:00;16.3;91.0;18.37;88.67
2019-06-05 00:00:00;13.8;97.0;18.37;88.67
2019-06-05 03:00:00;15.0;94.0;18.37;88.67
2019-06-05 06:00:00;14.8;90.0;18.37;88.67
2019-06-05 09:00:00;16.3;68.0;18.37;88.67
2019-06-05 12:00:00;16.9;66.0;18.37;88.67
