date;t;u
1996-01-01 00:00:00;2.8;96.0
1996-01-01 03:00:00;2.1;97.0
1996-01-01 06:00:00;2.0;97.0
1996-01-01 09:00:00;2.2;97.0
1996-01-01 12:00:00;3.3;97.0
1996-01-01 15:00:00;3.7;97.0
1996-01-01 18:00:00;3.5;97.0
1996-01-01 21:00:00;3.6;97.0
1996-01-02 00:00:00;3.5;97.0
1996-01-02 03:00:00;1.7;97.0
1996-01-02 06:00:00;1.1;98.0
1996-01-02 09:00:00;0.39;98.0
1996-01-02 12:00:00;1.1;98.0
1996-01-02 15:00:00;1.1;98.0
1996-01-02 18:00:00;0.39;98.0
1996-01-02 21:00:00;-0.4;98.0
1996-01-03 00:00:00;-0.61;98.0
1996-01-03 03:00:00;-0.61;98.0
1996-01-03 06:00:00;-0.2;98.0
1996-01-03 09:00:00;-0.11;98.0
1996-01-03 12:00:00;0.3;98.0
1996-01-03 15:00:00;0.0;98.0
1996-01-03 18:00:00;0.1;98.0
1996-01-03 21:00:00;0.5;98.0
1996-01-04 00:00:00;-0.11;98.0
1996-01-04 03:00:00;-0.5;98.0
1996-01-04 06:00:00;-0.11;98.0
1996-01-04 09:00:00;0.5;98.0
1996-01-04 12:00:00;3.0;92.0
1996-01-04 15:00:00;2.89;88.0
1996-01-04 18:00:00;2.0;80.0
1996-01-04 21:00:00;1.7;80.0
1996-01-05 00:00:00;1.5;82.0
1996-01-05 03:00:00;1.7;84.0
1996-01-05 06:00:00;1.1;87.0
1996-01-05 09:00:00;1.5;85.0
1996-01-05 12:00:00;3.7;76.0
1996-01-05 15:00:00;3.89;80.0
1996-01-05 18:00:00;3.6;78.0
1996-01-05 21:00:00;2.8;83.0
1996-01-06 00:00:00;2.3;84.0
1996-01-06 03:00:00;1.3;94.0
1996-01-06 06:00:00;0.89;95.0
1996-01-06 09:00:00;1.1;95.0
1996-01-06 12:00:00;2.1;97.0
1996-01-06 15:00:00;2.8;95.0
1996-01-06 18:00:00;2.8;93.0
1996-01-06 21:00:00;2.89;91.0
1996-01-07 00:00:00;4.0;93.0
1996-01-07 03:00:00;5.2;95.0
1996-01-07 06:00:00;8.1;93.0
1996-01-07 09:00:00;8.7;91.0
1996-01-07 12:00:00;10.7;84.0
1996-01-07 15:00:00;10.89;80.0
1996-01-07 18:00:00;8.1;86.0
1996-01-07 21:00:00;7.0;89.0
1996-01-08 00:00:00;5.8;93.0
1996-01-08 03:00:00;5.8;95.0
1996-01-08 06:00:00;7.1;91.0
1996-01-08 09:00:00;7.0;91.0
1996-01-08 12:00:00;9.6;85.0
1996-01-08 15:00:00;10.1;82.0
1996-01-08 18:00:00;8.3;84.0
1996-01-08 21:00:00;7.89;81.0
1996-01-09 00:00:00;7.89;78.0
1996-01-09 03:00:00;7.8;73.0
1996-01-09 06:00:00;7.3;80.0
1996-01-09 09:00:00;7.8;78.0
1996-01-09 12:00:00;8.3;88.0
1996-01-09 15:00:00;9.5;88.0
1996-01-09 18:00:00;9.2;89.0
1996-01-09 21:00:00;7.2;94.0
1996-01-10 00:00:00;6.2;95.0
1996-01-10 03:00:00;5.8;95.0
1996-01-10 06:00:00;6.5;97.0
1996-01-10 09:00:00;7.5;97.0
1996-01-10 12:00:00;8.8;97.0
1996-01-10 15:00:00;9.0;95.0
1996-01-10 18:00:00;8.5;94.0
1996-01-10 21:00:00;7.8;94.0
1996-01-11 00:00:00;7.39;94.0
1996-01-11 03:00:00;7.2;94.0
1996-01-11 06:00:00;6.2;93.0
1996-01-11 09:00:00;7.89;89.0
1996-01-11 12:00:00;8.6;82.0
1996-01-11 15:00:00;8.3;82.0
1996-01-11 18:00:00;8.0;86.0
1996-01-11 21:00:00;8.89;87.0
1996-01-12 00:00:00;9.1;88.0
1996-01-12 03:00:00;9.2;88.0
1996-01-12 06:00:00;8.1;86.0
1996-01-12 09:00:00;8.0;88.0
1996-01-12 12:00:00;10.3;79.0
1996-01-12 18:00:00;8.5;85.0
1996-01-12 21:00:00;7.8;87.0
1996-01-13 00:00:00;7.3;88.0
1996-01-13 03:00:00;7.8;88.0
1996-01-13 06:00:00;7.39;88.0
1996-01-13 09:00:00;7.6;89.0
1996-01-13 12:00:00;10.0;84.0
1996-01-13 15:00:00;8.7;86.0
1996-01-13 18:00:00;8.0;85.0
1996-01-13 21:00:00;7.8;84.0
1996-01-14 00:00:00;7.39;88.0
1996-01-14 03:00:00;5.1;92.0
1996-01-14 06:00:00;4.3;92.0
1996-01-14 09:00:00;6.7;85.0
1996-01-14 12:00:00;11.1;71.0
1996-01-14 15:00:00;13.6;66.0
1996-01-14 18:00:00;7.8;84.0
1996-01-14 21:00:00;6.39;84.0
1996-01-15 00:00:00;3.7;93.0
1996-01-15 03:00:00;3.39;93.0
1996-01-15 06:00:00;2.0;93.0
1996-01-15 09:00:00;3.5;92.0
1996-01-15 12:00:00;8.39;77.0
1996-01-15 15:00:00;9.3;79.0
1996-01-15 18:00:00;5.8;90.0
1996-01-15 21:00:00;4.1;92.0
1996-01-16 00:00:00;2.8;92.0
1996-01-16 03:00:00;0.8;95.0
1996-01-16 06:00:00;1.1;96.0
1996-01-16 09:00:00;1.6;97.0
1996-01-16 12:00:00;2.8;97.0
1996-01-16 15:00:00;3.39;97.0
1996-01-16 18:00:00;3.2;97.0
1996-01-16 21:00:00;2.39;97.0
1996-01-17 00:00:00;1.5;97.0
1996-01-17 03:00:00;1.1;97.0
1996-01-17 06:00:00;0.5;98.0
1996-01-17 09:00:00;0.39;99.0
1996-01-17 12:00:00;1.3;98.0
1996-01-17 15:00:00;1.89;99.0
1996-01-17 18:00:00;1.3;99.0
1996-01-17 21:00:00;0.8;98.0
1996-01-18 00:00:00;-0.5;98.0
1996-01-18 03:00:00;-0.8;98.0
1996-01-18 06:00:00;-0.11;98.0
1996-01-18 09:00:00;0.2;98.0
1996-01-18 12:00:00;1.1;98.0
1996-01-18 15:00:00;1.1;98.0
1996-01-18 18:00:00;0.7;98.0
1996-01-18 21:00:00;0.6;98.0
1996-01-19 00:00:00;0.2;98.0
1996-01-19 03:00:00;-0.9;98.0
1996-01-19 06:00:00;-1.4;98.0
1996-01-19 09:00:00;-0.7;98.0
1996-01-19 12:00:00;0.8;98.0
1996-01-19 15:00:00;2.3;91.0
1996-01-19 18:00:00;0.5;91.0
1996-01-19 21:00:00;-0.11;94.0
1996-01-20 00:00:00;-1.2;94.0
1996-01-20 03:00:00;-1.9;94.0
1996-01-20 06:00:00;-1.5;95.0
1996-01-20 09:00:00;-1.2;94.0
1996-01-20 12:00:00;-0.61;88.0
1996-01-20 15:00:00;0.0;87.0
1996-01-20 18:00:00;0.3;85.0
1996-01-20 21:00:00;0.6;85.0
1996-01-21 00:00:00;0.3;86.0
1996-01-21 03:00:00;-0.11;82.0
1996-01-21 06:00:00;-0.2;82.0
1996-01-21 09:00:00;-0.61;85.0
1996-01-21 12:00:00;1.3;77.0
1996-01-21 15:00:00;1.8;78.0
1996-01-21 18:00:00;0.39;83.0
1996-01-21 21:00:00;-0.11;83.0
1996-01-22 00:00:00;-0.7;85.0
1996-01-22 03:00:00;-0.8;85.0
1996-01-22 06:00:00;0.39;83.0
1996-01-22 09:00:00;1.39;82.0
1996-01-22 12:00:00;4.39;65.0
1996-01-22 15:00:00;4.89;62.0
1996-01-22 18:00:00;2.6;68.0
1996-01-22 21:00:00;0.8;81.0
1996-01-23 00:00:00;1.0;77.0
1996-01-23 03:00:00;1.1;81.0
1996-01-23 06:00:00;1.2;84.0
1996-01-23 09:00:00;1.2;78.0
1996-01-23 12:00:00;1.3;77.0
1996-01-23 15:00:00;1.39;81.0
1996-01-23 18:00:00;0.6;88.0
1996-01-23 21:00:00;0.6;93.0
1996-01-24 00:00:00;0.8;92.0
1996-01-24 03:00:00;0.7;92.0
1996-01-24 06:00:00;0.39;92.0
1996-01-24 09:00:00;0.8;90.0
1996-01-24 12:00:00;3.1;85.0
1996-01-24 15:00:00;3.2;82.0
1996-01-24 18:00:00;1.3;78.0
1996-01-24 21:00:00;0.3;76.0
1996-01-25 00:00:00;-0.7;76.0
1996-01-25 03:00:00;-1.0;73.0
1996-01-25 06:00:00;-2.9;68.0
1996-01-25 09:00:00;-3.61;66.0
1996-01-25 12:00:00;-4.5;65.0
1996-01-25 15:00:00;-4.8;62.0
1996-01-25 18:00:00;-5.4;62.0
1996-01-25 21:00:00;-5.11;56.0
1996-01-26 00:00:00;-5.4;54.0
1996-01-26 03:00:00;-5.7;56.0
1996-01-26 06:00:00;-6.2;54.0
1996-01-26 09:00:00;-6.8;58.0
1996-01-26 12:00:00;-6.8;64.0
1996-01-26 15:00:00;-6.9;66.0
1996-01-26 18:00:00;-7.4;75.0
1996-01-26 21:00:00;-7.3;73.0
1996-01-27 00:00:00;-7.4;75.0
1996-01-27 03:00:00;-7.2;77.0
1996-01-27 06:00:00;-6.61;81.0
1996-01-27 09:00:00;-5.61;81.0
1996-01-27 12:00:00;-3.5;80.0
1996-01-27 15:00:00;-1.61;82.0
1996-01-27 18:00:00;-0.4;81.0
1996-01-27 21:00:00;-0.61;82.0
1996-01-28 00:00:00;-1.3;91.0
1996-01-28 03:00:00;-2.7;90.0
1996-01-28 06:00:00;-4.9;86.0
1996-01-28 09:00:00;-4.3;84.0
1996-01-28 12:00:00;-0.61;75.0
1996-01-28 15:00:00;-0.8;71.0
1996-01-28 18:00:00;-2.2;77.0
1996-01-28 21:00:00;-2.61;78.0
1996-01-29 00:00:00;-2.3;80.0
1996-01-29 03:00:00;-2.0;80.0
1996-01-29 06:00:00;-2.11;80.0
