Date;temperature;humidite;IQ;IQ_J+1
01/12/2019 12:00;6.02;75.0;6;5
01/12/2019 15:00;6.32;72.0;6;5
01/12/2019 18:00;5.32;76.0;6;5
01/12/2019 21:00;3.62;84.0;6;5
30/11/2019 00:00;4.32;94.0;4;6
30/11/2019 03:00;2.82;98.0;4;6
30/11/2019 06:00;2.12;99.0;4;6
30/11/2019 09:00;2.32;99.0;4;6
30/11/2019 12:00;8.12;83.0;4;6
30/11/2019 15:00;7.92;80.0;4;6
30/11/2019 18:00;6.62;83.0;4;6
30/11/2019 21:00;5.72;85.0;4;6
29/11/2019 00:00;10.52;97.0;3;4
29/11/2019 03:00;9.72;91.0;3;4
29/11/2019 06:00;8.92;95.0;3;4
29/11/2019 09:00;8.52;90.0;3;4
29/11/2019 12:00;10.72;73.0;3;4
29/11/2019 15:00;10.12;71.0;3;4
29/11/2019 18:00;7.72;85.0;3;4
29/11/2019 21:00;6.22;91.0;3;4
28/11/2019 00:00;11.92;85.0;3;3
28/11/2019 03:00;11.82;88.0;3;3
28/11/2019 06:00;11.62;91.0;3;3
28/11/2019 09:00;11.92;93.0;3;3
28/11/2019 12:00;13.42;80.0;3;3
28/11/2019 15:00;12.82;79.0;3;3
28/11/2019 18:00;11.82;84.0;3;3
28/11/2019 21:00;11.22;96.0;3;3
27/11/2019 00:00;12.92;95.0;3;3
27/11/2019 03:00;12.32;97.0;3;3
27/11/2019 06:00;12.62;87.0;3;3
27/11/2019 09:00;12.72;84.0;3;3
27/11/2019 12:00;13.22;82.0;3;3
27/11/2019 15:00;13.02;89.0;3;3
27/11/2019 18:00;13.02;86.0;3;3
27/11/2019 21:00;12.62;89.0;3;3
26/11/2019 00:00;11.62;97.0;2;3
26/11/2019 03:00;12.32;98.0;2;3
26/11/2019 06:00;12.62;95.0;2;3
26/11/2019 09:00;13.02;88.0;2;3
26/11/2019 12:00;13.02;92.0;2;3
26/11/2019 15:00;13.92;89.0;2;3
26/11/2019 18:00;13.62;90.0;2;3
26/11/2019 21:00;13.42;91.0;2;3
25/11/2019 00:00;8.92;97.0;2;2
25/11/2019 03:00;8.42;95.0;2;2
25/11/2019 06:00;9.82;93.0;2;2
25/11/2019 09:00;9.82;95.0;2;2
25/11/2019 12:00;11.22;89.0;2;2
25/11/2019 15:00;13.02;80.0;2;2
25/11/2019 18:00;11.72;85.0;2;2
25/11/2019 21:00;11.72;86.0;2;2
24/11/2019 00:00;7.82;89.0;4;2
24/11/2019 03:00;6.32;94.0;4;2
24/11/2019 06:00;8.72;99.0;4;2
24/11/2019 09:00;8.92;100.0;4;2
24/11/2019 12:00;9.92;99.0;4;2
24/11/2019 15:00;11.52;92.0;4;2
24/11/2019 18:00;10.92;95.0;4;2
24/11/2019 21:00;9.22;91.0;4;2
23/11/2019 00:00;11.62;78.0;3;4
23/11/2019 03:00;12.12;77.0;3;4
23/11/2019 06:00;10.92;90.0;3;4
23/11/2019 09:00;13.32;79.0;3;4
23/11/2019 12:00;11.82;79.0;3;4
23/11/2019 15:00;10.82;77.0;3;4
23/11/2019 18:00;9.22;83.0;3;4
23/11/2019 21:00;8.12;87.0;3;4
22/11/2019 00:00;8.32;92.0;3;3
22/11/2019 03:00;9.02;88.0;3;3
22/11/2019 06:00;9.62;86.0;3;3
22/11/2019 09:00;9.72;83.0;3;3
22/11/2019 12:00;12.52;73.0;3;3
22/11/2019 15:00;11.72;74.0;3;3
22/11/2019 18:00;9.92;82.0;3;3
22/11/2019 21:00;10.92;76.0;3;3
21/11/2019 00:00;1.32;91.0;4;3
21/11/2019 03:00;1.82;92.0;4;3
21/11/2019 06:00;2.22;93.0;4;3
21/11/2019 09:00;3.42;95.0;4;3
21/11/2019 12:00;5.72;90.0;4;3
21/11/2019 15:00;8.42;82.0;4;3
21/11/2019 18:00;5.52;91.0;4;3
21/11/2019 21:00;6.52;92.0;4;3
