Date;temperature;humidite;IQ;IQ_J+1
01/12/2019 12:00;4.67;90.67;6;5
01/12/2019 15:00;3.93;90.75;6;5
01/12/2019 18:00;1.47;93.83;6;5
01/12/2019 21:00;-0.25;93.92;6;5
30/11/2019 00:00;2.47;94.27;4;6
30/11/2019 03:00;1.12;94.36;4;6
30/11/2019 06:00;0.93;96.83;4;6
30/11/2019 09:00;2.7;57.75;4;6
30/11/2019 12:00;10.95;92.08;4;6
30/11/2019 15:00;6.1;95.17;4;6
30/11/2019 18:00;3.86;97.08;4;6
30/11/2019 21:00;3.04;98.67;4;6
29/11/2019 00:00;8.53;98.09;3;4
29/11/2019 03:00;7.69;98.33;3;4
29/11/2019 06:00;6.81;98.67;3;4
29/11/2019 09:00;7.31;73.25;3;4
29/11/2019 12:00;10.04;81.0;3;4
29/11/2019 15:00;7.82;95.58;3;4
29/11/2019 18:00;5.29;95.73;3;4
29/11/2019 21:00;4.43;97.92;3;4
28/11/2019 00:00;8.89;82.33;3;3
28/11/2019 03:00;8.98;0.17;3;3
28/11/2019 06:00;9.1;0.67;3;3
28/11/2019 09:00;10.19;8.92;3;3
28/11/2019 12:00;11.62;96.58;3;3
28/11/2019 15:00;10.63;95.8;3;3
28/11/2019 18:00;9.39;97.17;3;3
28/11/2019 21:00;8.95;98.0;3;3
27/11/2019 00:00;10.62;57.75;3;3
27/11/2019 03:00;10.04;0.75;3;3
27/11/2019 06:00;9.65;0.5;3;3
27/11/2019 09:00;10.25;71.91;3;3
27/11/2019 12:00;11.59;95.25;3;3
27/11/2019 15:00;10.42;97.92;3;3
27/11/2019 18:00;10.18;97.91;3;3
27/11/2019 21:00;9.83;98.92;3;3
26/11/2019 00:00;9.43;97.5;2;3
26/11/2019 03:00;10.17;98.0;2;3
26/11/2019 06:00;10.35;98.73;2;3
26/11/2019 09:00;11.1;97.42;2;3
26/11/2019 12:00;10.99;97.58;2;3
26/11/2019 15:00;11.55;98.27;2;3
26/11/2019 18:00;11.34;98.75;2;3
26/11/2019 21:00;11.0;74.0;2;3
25/11/2019 00:00;6.99;98.5;2;2
25/11/2019 03:00;6.82;98.82;2;2
25/11/2019 06:00;7.15;98.17;2;2
25/11/2019 09:00;8.03;41.08;2;2
25/11/2019 12:00;10.24;95.64;2;2
25/11/2019 15:00;11.09;92.0;2;2
25/11/2019 18:00;9.25;94.42;2;2
25/11/2019 21:00;9.11;96.17;2;2
24/11/2019 00:00;6.11;93.17;4;2
24/11/2019 03:00;5.23;94.0;4;2
24/11/2019 06:00;6.11;95.27;4;2
24/11/2019 09:00;7.61;96.0;4;2
24/11/2019 12:00;9.5;96.0;4;2
24/11/2019 15:00;9.58;96.17;4;2
24/11/2019 18:00;8.84;97.17;4;2
24/11/2019 21:00;7.31;96.58;4;2
23/11/2019 00:00;8.17;90.33;3;4
23/11/2019 03:00;8.7;91.64;3;4
23/11/2019 06:00;8.67;93.33;3;4
23/11/2019 09:00;10.31;94.0;3;4
23/11/2019 12:00;10.26;91.75;3;4
23/11/2019 15:00;8.54;90.92;3;4
23/11/2019 18:00;6.9;92.83;3;4
23/11/2019 21:00;6.45;93.18;3;4
22/11/2019 00:00;5.91;98.0;3;3
22/11/2019 03:00;6.6;97.33;3;3
22/11/2019 06:00;6.73;97.67;3;3
22/11/2019 09:00;8.16;94.83;3;3
22/11/2019 12:00;12.2;82.75;3;3
22/11/2019 15:00;9.67;82.17;3;3
22/11/2019 18:00;7.44;89.27;3;3
22/11/2019 21:00;8.2;89.25;3;3
21/11/2019 00:00;-0.45;94.58;4;3
21/11/2019 03:00;-0.74;95.92;4;3
21/11/2019 06:00;0.0;97.83;4;3
21/11/2019 09:00;1.84;96.83;4;3
21/11/2019 12:00;5.25;94.55;4;3
21/11/2019 15:00;6.38;92.58;4;3
21/11/2019 18:00;3.93;95.83;4;3
21/11/2019 21:00;5.03;97.33;4;3
20/11/2019 00:00;2.56;94.58;3;4
20/11/2019 03:00;0.42;95.0;3;4
20/11/2019 06:00;-0.42;96.33;3;4
20/11/2019 09:00;2.39;96.0;3;4
20/11/2019 12:00;9.06;87.42;3;4
20/11/2019 15:00;5.77;88.0;3;4
20/11/2019 18:00;2.28;91.82;3;4
20/11/2019 21:00;0.5;93.33;3;4
19/11/2019 00:00;3.68;96.58;3;3
19/11/2019 03:00;2.44;96.17;3;3
19/11/2019 06:00;1.37;95.82;3;3
19/11/2019 09:00;4.01;80.25;3;3
19/11/2019 12:00;11.67;89.92;3;3
19/11/2019 15:00;6.97;90.36;3;3
19/11/2019 18:00;3.86;93.0;3;3
19/11/2019 21:00;2.73;95.17;3;3
18/11/2019 00:00;2.78;92.58;5;3
18/11/2019 03:00;3.21;92.64;5;3
18/11/2019 06:00;4.23;93.0;5;3
18/11/2019 09:00;6.33;93.25;5;3
18/11/2019 12:00;8.05;94.0;5;3
18/11/2019 15:00;7.93;95.58;5;3
18/11/2019 18:00;5.8;95.5;5;3
18/11/2019 21:00;4.76;96.42;5;3
17/11/2019 00:00;5.77;93.82;3;5
17/11/2019 03:00;4.92;94.08;3;5
17/11/2019 06:00;4.31;94.58;3;5
17/11/2019 09:00;5.78;93.45;3;5
17/11/2019 12:00;13.81;85.42;3;5
17/11/2019 15:00;8.47;90.08;3;5
17/11/2019 18:00;4.92;90.58;3;5
17/11/2019 21:00;3.48;92.33;3;5
16/11/2019 00:00;3.56;96.25;2;3
16/11/2019 03:00;4.09;97.0;2;3
16/11/2019 06:00;3.85;96.0;2;3
16/11/2019 09:00;4.84;94.92;2;3
16/11/2019 12:00;7.97;92.0;2;3
16/11/2019 15:00;7.11;91.42;2;3
16/11/2019 18:00;6.27;92.58;2;3
16/11/2019 21:00;5.92;93.08;2;3
15/11/2019 00:00;3.73;96.09;3;2
15/11/2019 03:00;4.08;96.42;3;2
15/11/2019 06:00;4.49;97.17;3;2
15/11/2019 09:00;4.72;97.5;3;2
15/11/2019 12:00;4.45;97.58;3;2
15/11/2019 15:00;4.23;97.33;3;2
15/11/2019 18:00;4.41;96.82;3;2
15/11/2019 21:00;4.11;95.5;3;2
14/11/2019 00:00;5.02;97.33;2;3
14/11/2019 03:00;5.28;95.83;2;3
14/11/2019 06:00;4.37;97.17;2;3
14/11/2019 09:00;5.52;97.42;2;3
14/11/2019 12:00;7.33;91.17;2;3
14/11/2019 15:00;6.72;90.36;2;3
14/11/2019 18:00;4.95;93.0;2;3
14/11/2019 21:00;3.53;95.08;2;3
13/11/2019 00:00;4.98;95.0;2;2
13/11/2019 03:00;5.91;95.83;2;2
13/11/2019 06:00;5.97;96.08;2;2
13/11/2019 09:00;7.82;95.09;2;2
13/11/2019 12:00;12.65;88.58;2;2
13/11/2019 15:00;8.08;90.92;2;2
13/11/2019 18:00;6.62;92.5;2;2
13/11/2019 21:00;5.25;95.09;2;2
12/11/2019 00:00;3.9;97.83;3;2
12/11/2019 03:00;3.77;98.67;3;2
12/11/2019 06:00;2.87;97.55;3;2
12/11/2019 09:00;4.85;73.17;3;2
12/11/2019 12:00;11.02;86.92;3;2
12/11/2019 15:00;7.63;86.0;3;2
12/11/2019 18:00;5.0;90.83;3;2
12/11/2019 21:00;4.93;93.5;3;2
11/11/2019 00:00;5.69;92.91;3;3
11/11/2019 03:00;6.27;94.33;3;3
11/11/2019 06:00;6.25;95.08;3;3
11/11/2019 09:00;6.04;95.83;3;3
11/11/2019 12:00;7.71;96.45;3;3
11/11/2019 15:00;7.9;94.08;3;3
11/11/2019 18:00;4.64;94.42;3;3
11/11/2019 21:00;3.81;96.83;3;3
10/11/2019 00:00;3.22;96.83;3;3
10/11/2019 03:00;2.74;96.58;3;3
10/11/2019 06:00;1.94;96.45;3;3
10/11/2019 09:00;4.83;72.08;3;3
