Date;temperature;humidite;IQ;IQ_J+1
2019-12-01 00:00:00;5.02;87.0;6;5
2019-12-01 03:00:00;4.72;84.0;6;5
2019-12-01 06:00:00;4.42;85.0;6;5
2019-12-01 09:00:00;4.62;81.0;6;5
2019-12-01 12:00:00;6.02;75.0;6;5
2019-12-01 15:00:00;6.32;72.0;6;5
2019-12-01 18:00:00;5.32;76.0;6;5
2019-12-01 21:00:00;3.62;84.0;6;5
2019-11-30 00:00:00;4.32;94.0;4;6
2019-11-30 03:00:00;2.82;98.0;4;6
2019-11-30 06:00:00;2.12;99.0;4;6
2019-11-30 09:00:00;2.32;99.0;4;6
2019-11-30 12:00:00;8.12;83.0;4;6
2019-11-30 15:00:00;7.92;80.0;4;6
2019-11-30 18:00:00;6.62;83.0;4;6
2019-11-30 21:00:00;5.72;85.0;4;6
2019-11-29 00:00:00;10.52;97.0;3;4
2019-11-29 03:00:00;9.72;91.0;3;4
2019-11-29 06:00:00;8.92;95.0;3;4
2019-11-29 09:00:00;8.52;90.0;3;4
2019-11-29 12:00:00;10.72;73.0;3;4
2019-11-29 15:00:00;10.12;71.0;3;4
2019-11-29 18:00:00;7.72;85.0;3;4
2019-11-29 21:00:00;6.22;91.0;3;4
2019-11-28 00:00:00;11.92;85.0;3;3
2019-11-28 03:00:00;11.82;88.0;3;3
2019-11-28 06:00:00;11.62;91.0;3;3
2019-11-28 09:00:00;11.92;93.0;3;3
2019-11-28 12:00:00;13.42;80.0;3;3
2019-11-28 15:00:00;12.82;79.0;3;3
2019-11-28 18:00:00;11.82;84.0;3;3
2019-11-28 21:00:00;11.22;96.0;3;3
2019-11-27 00:00:00;12.92;95.0;3;3
2019-11-27 03:00:00;12.32;97.0;3;3
2019-11-27 06:00:00;12.62;87.0;3;3
2019-11-27 09:00:00;12.72;84.0;3;3
2019-11-27 12:00:00;13.22;82.0;3;3
2019-11-27 15:00:00;13.02;89.0;3;3
2019-11-27 18:00:00;13.02;86.0;3;3
2019-11-27 21:00:00;12.62;89.0;3;3
2019-11-26 00:00:00;11.62;97.0;2;3
2019-11-26 03:00:00;12.32;98.0;2;3
2019-11-26 06:00:00;12.62;95.0;2;3
2019-11-26 09:00:00;13.02;88.0;2;3
2019-11-26 12:00:00;13.02;92.0;2;3
2019-11-26 15:00:00;13.92;89.0;2;3
2019-11-26 18:00:00;13.62;90.0;2;3
2019-11-26 21:00:00;13.42;91.0;2;3
2019-11-25 00:00:00;8.92;97.0;2;2
2019-11-25 03:00:00;8.42;95.0;2;2
2019-11-25 06:00:00;9.82;93.0;2;2
2019-11-25 09:00:00;9.82;95.0;2;2
2019-11-25 12:00:00;11.22;89.0;2;2
2019-11-25 15:00:00;13.02;80.0;2;2
2019-11-25 18:00:00;11.72;85.0;2;2
2019-11-25 21:00:00;11.72;86.0;2;2
2019-11-24 00:00:00;7.82;89.0;4;2
2019-11-24 03:00:00;6.32;94.0;4;2
2019-11-24 06:00:00;8.72;99.0;4;2
2019-11-24 09:00:00;8.92;100.0;4;2
2019-11-24 12:00:00;9.92;99.0;4;2
2019-11-24 15:00:00;11.52;92.0;4;2
2019-11-24 18:00:00;10.92;95.0;4;2
2019-11-24 21:00:00;9.22;91.0;4;2
2019-11-23 00:00:00;11.62;78.0;3;4
2019-11-23 03:00:00;12.12;77.0;3;4
2019-11-23 06:00:00;10.92;90.0;3;4
2019-11-23 09:00:00;13.32;79.0;3;4
2019-11-23 12:00:00;11.82;79.0;3;4
2019-11-23 15:00:00;10.82;77.0;3;4
2019-11-23 18:00:00;9.22;83.0;3;4
2019-11-23 21:00:00;8.12;87.0;3;4
2019-11-22 00:00:00;8.32;92.0;3;3
2019-11-22 03:00:00;9.02;88.0;3;3
2019-11-22 06:00:00;9.62;86.0;3;3
2019-11-22 09:00:00;9.72;83.0;3;3
2019-11-22 12:00:00;12.52;73.0;3;3
2019-11-22 15:00:00;11.72;74.0;3;3
2019-11-22 18:00:00;9.92;82.0;3;3
2019-11-22 21:00:00;10.92;76.0;3;3
2019-11-21 00:00:00;1.32;91.0;4;3
2019-11-21 03:00:00;1.82;92.0;4;3
2019-11-21 06:00:00;2.22;93.0;4;3
2019-11-21 09:00:00;3.42;95.0;4;3
2019-11-21 12:00:00;5.72;90.0;4;3
2019-11-21 15:00:00;8.42;82.0;4;3
2019-11-21 18:00:00;5.52;91.0;4;3
2019-11-21 21:00:00;6.52;92.0;4;3
2019-11-20 00:00:00;3.52;95.0;3;4
2019-11-20 03:00:00;1.42;95.0;3;4
2019-11-20 06:00:00;0.82;94.0;3;4
2019-11-20 09:00:00;3.22;89.0;3;4
2019-11-20 12:00:00;7.02;77.0;3;4
2019-11-20 15:00:00;7.42;75.0;3;4
2019-11-20 18:00:00;4.32;86.0;3;4
2019-11-20 21:00:00;2.42;91.0;3;4
2019-11-19 00:00:00;6.22;90.0;3;3
2019-11-19 03:00:00;4.52;95.0;3;3
2019-11-19 06:00:00;3.62;97.0;3;3
2019-11-19 09:00:00;5.02;93.0;3;3
2019-11-19 12:00:00;8.62;71.0;3;3
2019-11-19 15:00:00;9.02;69.0;3;3
2019-11-19 18:00:00;5.52;85.0;3;3
2019-11-19 21:00:00;3.92;95.0;3;3
2019-11-18 00:00:00;5.72;88.0;5;3
2019-11-18 03:00:00;5.12;92.0;5;3
2019-11-18 06:00:00;6.12;91.0;5;3
2019-11-18 09:00:00;7.52;96.0;5;3
2019-11-18 12:00:00;9.62;94.0;5;3
2019-11-18 15:00:00;10.52;87.0;5;3
2019-11-18 18:00:00;8.62;84.0;5;3
2019-11-18 21:00:00;7.72;87.0;5;3
2019-11-17 00:00:00;7.62;88.0;3;5
2019-11-17 03:00:00;5.32;92.0;3;5
2019-11-17 06:00:00;5.62;95.0;3;5
2019-11-17 09:00:00;6.62;89.0;3;5
2019-11-17 12:00:00;10.52;67.0;3;5
2019-11-17 15:00:00;9.62;70.0;3;5
2019-11-17 18:00:00;7.82;79.0;3;5
2019-11-17 21:00:00;6.82;85.0;3;5
2019-11-16 00:00:00;4.92;90.0;2;3
