Geo Point;Geo Shape;qualif;type_zone;ObjectId;y_wgs84;val_so2;couleur;val_no2;val_o3;date_ech;id;source;valeur;val_pm25;code_zone;lib_zone;x_wgs84;the_geom;val_pm10
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;8035;50.6309;0;#99E600;0;0;2019-09-12T02:00:00+02:00;24431;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;0
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;8110;50.6309;0;#99E600;0;0;2019-09-18T02:00:00+02:00;24505;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;0
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Moyen;commune;8156;50.6309;0;#FFFF00;0;0;2019-09-21T02:00:00+02:00;24548;Atmo HDF;5;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;0
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;8168;50.6309;0;#99E600;0;0;2019-09-22T02:00:00+02:00;24561;Atmo HDF;4;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;0
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;8225;50.6309;0;#99E600;0;0;2019-09-26T02:00:00+02:00;24613;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;0
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;8264;50.6309;0;#99E600;0;0;2019-09-29T02:00:00+02:00;24652;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;0
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;8349;50.6309;0;#99E600;0;0;2019-10-06T02:00:00+02:00;28268;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;0
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;8367;50.6309;0;#99E600;0;0;2019-10-07T02:00:00+02:00;28281;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;0
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Médiocre;commune;4002;50.6309;0;#FFAA00;2;1;2018-11-05T01:00:00+01:00;21965;Atmo HDF;6;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;6
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4037;50.6309;0;#99E600;2;2;2018-11-08T01:00:00+01:00;21968;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;3
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4080;50.6309;0;#99E600;1;3;2018-11-11T01:00:00+01:00;21971;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;2
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4144;50.6309;0;#99E600;2;1;2018-11-16T01:00:00+01:00;21976;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;3
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4189;50.6309;0;#99E600;2;2;2018-11-20T01:00:00+01:00;21980;Atmo HDF;4;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;4
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Moyen;commune;4245;50.6309;0;#FFFF00;2;1;2018-11-24T01:00:00+01:00;21984;Atmo HDF;5;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;5
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4269;50.6309;0;#99E600;2;1;2018-11-26T01:00:00+01:00;21986;Atmo HDF;4;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;4
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4354;50.6309;0;#99E600;1;3;2018-12-02T01:00:00+01:00;21992;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;1
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4374;50.6309;0;#99E600;3;2;2018-12-04T01:00:00+01:00;21994;Atmo HDF;4;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;4
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4409;50.6309;0;#99E600;2;3;2018-12-06T01:00:00+01:00;21996;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;3
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4490;50.6309;0;#99E600;2;1;2018-12-13T01:00:00+01:00;22003;Atmo HDF;4;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;4
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4549;50.6309;0;#99E600;2;2;2018-12-17T01:00:00+01:00;22007;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;3
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4575;50.6309;0;#99E600;2;3;2018-12-19T01:00:00+01:00;22009;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;2
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4713;50.6309;0;#99E600;2;1;2018-12-30T01:00:00+01:00;22020;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;3
50.6309,3.0468;"{""type"": ""Point"", ""coordinates"": [3.0468, 50.6309]}";Bon;commune;4763;50.6309;0;#99E600;3;3;2019-01-03T01:00:00+01:00;22024;Atmo HDF;3;0;59350;Lille;3.0468;01010000206A08000000000000AA76254100000040DFED5A41;3
