Réel;Prediction
4;3,1134357
4;5,422679
3;4,1788077
3;3,1914515
3;3,3050618
3;4,0838037
5;4,130942
5;3,0621195
2;2,3046227
5;5,2766724
3;3,0804114
5;4,124389
5;3,05649
5;4,297865
3;3,0357475
4;4,254245
5;4,3198786
4;4,171702
3;3,15936
3;3,0666485
3;3,1301575
5;3,1007519
3;3,0769343
3;2,430372
3;3,1039524
8;5,2461686
4;5,300378
3;4,237407
2;3,0799747
3;2,238946
4;5,2464585
3;3,034226
3;3,1102695
4;3,1195817
3;3,029334
2;3,076706
4;3,0971122
3;5,3278046
3;3,0805125
3;4,119783
3;3,0333276
3;3,082222
3;3,0986705
3;3,0613074
4;3,0682101
3;4,177846
3;4,039688
6;4,9169984
4;5,30634
4;5,413063
3;3,8184214
3;3,1206703
5;4,180938
3;2,2095828
2;3,063889
3;2,3254251
3;3,5296483
4;3,992495
3;2,3892145
3;2,2459998
7;5,307726
4;3,9787283
3;3,1245399
4;4,063904
4;4,1177926
3;3,0476766
7;4,266866
5;5,970027
4;3,069397
3;3,0738602
3;3,0625787
4;4,1197424
5;5,147727
4;5,09131
3;3,0740938
3;3,080308
5;6,622702
3;3,1158276
8;6,6664257
4;4,2642007
4;3,0486374
3;3,034226
4;3,1396217
3;3,115415
3;7,0090604
3;3,0452766
4;3,0438876
3;3,034226
3;3,076105
3;3,0912914
2;3,0350475
2;3,0463758
3;3,965776
3;5,219058
2;2,3523092
4;3,1249375
3;3,1553664
3;3,8376594
3;3,0989504
4;3,0233283
3;3,0634708
3;3,100511
3;3,1186862
3;3,1148248
3;3,0702238
3;3,1536655
6;3,8767772
3;3,029814
3;2,9317827
4;4,090694
3;3,0749483
4;3,1010742
4;4,204898
6;7,1902766
3;3,0858655
4;4,2751417
3;3,1288643
3;2,5233903
7;6,9876685
3;3,0605235
3;3,9626522
3;3,0801945
3;2,5778174
4;3,0297303
4;4,080294
4;3,103518
4;3,145946
3;4,137218
3;3,0666552
4;3,1555333
3;3,0858898
5;5,722053
3;4,1139936
5;5,333125
3;3,1022763
5;5,783012
3;4,1944723
3;4,273004
3;3,1242614
3;3,1067233
6;3,924561
3;4,0435104
5;5,3950906
4;3,1338024
2;2,2822108
3;3,0866184
3;3,0701427
4;4,163815
3;3,051834
3;3,075015
4;5,1127796
3;3,095498
4;4,1487207
3;3,0583568
2;2,4200873
4;3,0909882
4;3,0863762
4;3,0813522
2;3,5860014
3;3,0447216
4;5,4075394
5;5,2216897
5;5,061801
6;7,860052
3;3,107112
4;3,12046
2;3,090249
3;4,292747
7;7,0367265
2;3,0599194
4;3,0416136
3;3,034226
6;4,308047
3;4,0031185
3;3,047267
4;4,2407117
5;3,167438
5;4,2722554
3;3,0764155
3;5,3186436
4;4,984602
3;4,2216554
5;5,988963
5;4,229934
3;4,0465026
2;3,1131349
4;3,0890765
3;3,0311375
5;5,949016
5;3,096344
7;5,0321913
4;4,2845984
3;2,8180962
