valeur,type_zone
3,commune
3,commune
5,commune
4,commune
3,commune
3,commune
3,commune
3,commune
6,commune
3,commune
3,commune
3,commune
4,commune
5,commune
4,commune
3,commune
4,commune
3,commune
4,commune
3,commune
3,commune
3,commune
3,commune
7,commune
4,commune
3,commune
3,commune
3,commune
3,commune
3,commune
6,commune
8,commune
8,commune
4,commune
4,commune
4,commune
4,commune
3,commune
3,commune
2,commune
4,commune
4,commune
3,commune
5,commune
3,commune
6,commune
5,commune
3,commune
3,commune
7,commune
3,commune
3,commune
4,commune
7,commune
6,commune
6,commune
5,commune
6,commune
3,commune
3,commune
5,commune
4,commune
3,commune
3,commune
3,commune
4,commune
4,commune
4,commune
5,commune
9,commune
5,commune
6,commune
4,commune
4,commune
4,commune
4,commune
5,commune
7,commune
8,commune
8,commune
6,commune
4,commune
3,commune
3,commune
3,commune
3,commune
5,commune
5,commune
5,commune
7,commune
6,commune
3,commune
4,commune
3,commune
4,commune
3,commune
3,commune
4,commune
3,commune
4,commune
7,commune
4,commune
4,commune
3,commune
4,commune
3,commune
3,commune
3,commune
3,commune
8,commune
5,commune
4,commune
3,commune
3,commune
3,commune
8,commune
4,commune
5,commune
6,commune
3,commune
4,commune
4,commune
4,commune
4,commune
5,commune
4,commune
4,commune
3,commune
3,commune
4,commune
4,commune
4,commune
3,commune
2,commune
3,commune
3,commune
3,commune
3,commune
3,commune
5,commune
3,commune
4,commune
5,commune
3,commune
3,commune
3,commune
5,commune
5,commune
8,commune
3,commune
3,commune
3,commune
5,commune
3,commune
3,commune
3,commune
4,commune
3,commune
3,commune
5,commune
3,commune
3,commune
3,commune
4,commune
3,commune
3,commune
3,commune
4,commune
3,commune
4,commune
4,commune
8,commune
4,commune
4,commune
3,commune
4,commune
3,commune
3,commune
3,commune
4,commune
3,commune
3,commune
3,commune
5,commune
4,commune
3,commune
2,commune
6,commune
3,commune
3,commune
5,commune
6,commune
7,commune
5,commune
6,commune
6,commune
6,commune
5,commune
3,commune
5,commune
3,commune
3,commune
4,commune
4,commune
3,commune
4,commune
3,commune
3,commune
3,commune
5,commune
6,commune
7,commune
4,commune
4,commune
4,commune
4,commune
5,commune
6,commune
6,commune
5,commune
3,commune
3,commune
5,commune
3,commune
3,commune
3,commune
5,commune
5,commune
3,commune
3,commune
4,commune
4,commune
4,commune
8,commune
4,commune
5,commune
5,commune
5,commune
5,commune
4,commune
5,commune
5,commune
4,commune
3,commune
3,commune
3,commune
5,commune
5,commune
4,commune
3,commune
5,commune
4,commune
6,commune
7,commune
5,commune
5,commune
4,commune
8,commune
4,commune
4,commune
4,commune
4,commune
3,commune
4,commune
3,commune
4,commune
3,commune
3,commune
2,commune
3,commune
3,commune
3,commune
2,commune
3,commune
4,commune
4,commune
7,commune
5,commune
5,commune
3,commune
3,commune
4,commune
3,commune
4,commune
3,commune
3,commune
3,commune
3,commune
5,commune
3,commune
7,commune
3,commune
3,commune
3,commune
3,commune
3,commune
5,commune
4,commune
4,commune
3,commune
4,commune
3,commune
2,commune
3,commune
4,commune
4,commune
7,commune
3,commune
3,commune
2,commune
4,commune
5,commune
5,commune
7,commune
6,commune
6,commune
4,commune
4,commune
3,commune
4,commune
3,commune
4,commune
5,commune
5,commune
6,commune
5,commune
3,commune
3,commune
3,commune
3,commune
3,commune
4,commune
4,commune
8,commune
6,commune
5,commune
4,commune
4,commune
4,commune
6,commune
6,commune
6,commune
6,commune
9,commune
3,commune
5,commune
3,commune
5,commune
7,commune
4,commune
5,commune
5,commune
3,commune
4,commune
4,commune
3,commune
6,commune
4,commune
5,commune
5,commune
4,commune
4,commune
6,commune
4,commune
3,commune
3,commune
4,commune
4,commune
4,commune
4,commune
3,commune
6,commune
6,commune
3,commune
6,commune
4,commune
3,commune
4,commune
3,commune
3,commune
4,commune
4,commune
3,commune
4,commune
5,commune
5,commune
3,commune
2,commune
3,commune
3,commune
3,commune
3,commune
7,commune
4,commune
2,commune
3,commune
3,commune
3,commune
6,commune
3,commune
6,commune
4,commune
4,commune
3,commune
3,commune
3,commune
4,commune
5,commune
3,commune
5,commune
3,commune
3,commune
4,commune
3,commune
5,commune
6,commune
6,commune
5,commune
3,commune
3,commune
3,commune
3,commune
3,commune
3,commune
4,commune
4,commune
3,commune
4,commune
3,commune
4,commune
3,commune
4,commune
5,commune
3,commune
6,commune
3,commune
3,commune
5,commune
3,commune
6,commune
6,commune
4,commune
2,commune
3,commune
5,commune
6,commune
7,commune
5,commune
4,commune
7,commune
4,commune
4,commune
4,commune
3,commune
6,commune
4,commune
7,commune
5,commune
7,commune
3,commune
4,commune
4,commune
5,commune
5,commune
6,commune
7,commune
5,commune
4,commune
3,commune
6,commune
7,commune
5,commune
6,commune
6,commune
4,commune
9,commune
8,commune
6,commune
4,commune
5,commune
3,commune
3,commune
3,commune
7,commune
4,commune
3,commune
4,commune
7,commune
6,commune
5,commune
10,commune
5,commune
4,commune
4,commune
4,commune
4,commune
5,commune
3,commune
5,commune
3,commune
3,commune
5,commune
4,commune
3,commune
4,commune
4,commune
3,commune
3,commune
3,commune
3,commune
3,commune
3,commune
2,commune
3,commune
4,commune
6,commune
2,commune
2,commune
3,commune
2,commune
5,commune
4,commune
3,commune
3,commune
4,commune
4,commune
3,commune
5,commune
3,commune
7,commune
3,commune
3,commune
4,commune
3,commune
5,commune
6,commune
5,commune
3,commune
3,commune
3,commune
6,commune
4,commune
6,commune
3,commune
4,commune
3,commune
3,commune
3,commune
3,commune
5,commune
4,commune
3,commune
3,commune
3,commune
3,commune
4,commune
4,commune
3,commune
4,commune
4,commune
3,commune
4,commune
4,commune
3,commune
4,commune
6,commune
3,commune
4,commune
4,commune
4,commune
5,commune
6,commune
8,commune
3,commune
8,commune
7,commune
6,commune
2,commune
5,commune
3,commune
4,commune
4,commune
5,commune
4,commune
4,commune
3,commune
3,commune
6,commune
5,commune
7,commune
4,commune
6,commune
5,commune
6,commune
3,commune
3,commune
3,commune
3,commune
5,commune
5,commune
7,commune
6,commune
4,commune
3,commune
4,commune
4,commune
7,commune
5,commune
4,commune
5,commune
7,commune
3,commune
4,commune
3,commune
4,commune
4,commune
4,commune
7,commune
7,commune
3,commune
4,commune
3,commune
3,commune
4,commune
3,commune
3,commune
2,commune
5,commune
6,commune
4,commune
3,commune
3,commune
4,commune
6,commune
7,commune
4,commune
4,commune
4,commune
3,commune
4,commune
5,commune
6,commune
5,commune
5,commune
3,commune
5,commune
4,commune
4,commune
4,commune
4,commune
3,commune
5,commune
