Date;pression_mer;direction_vent;force_vent;temperature;humidite;pression;IQ;IQ_J+1
2019-12-01 00:00:00;101970.0;50.0;4.5;275.95;87.0;101380.0;6;5
2019-12-01 03:00:00;101820.0;40.0;6.0;275.65;84.0;101230.0;6;5
2019-12-01 06:00:00;101740.0;30.0;4.9;275.35;85.0;101150.0;6;5
2019-12-01 09:00:00;101850.0;40.0;5.6;275.55;81.0;101260.0;6;5
2019-12-01 12:00:00;101900.0;40.0;7.0;276.95;75.0;101310.0;6;5
2019-12-01 15:00:00;101960.0;20.0;6.2;277.25;72.0;101370.0;6;5
2019-12-01 18:00:00;102220.0;10.0;4.9;276.25;76.0;101630.0;6;5
2019-12-01 21:00:00;102400.0;350.0;2.7;274.55;84.0;101800.0;6;5
2019-11-30 00:00:00;102250.0;220.0;1.7;275.25;94.0;101660.0;4;6
2019-11-30 03:00:00;102320.0;110.0;0.8;273.75;98.0;101720.0;4;6
2019-11-30 06:00:00;102300.0;70.0;1.2;273.05;99.0;101700.0;4;6
2019-11-30 09:00:00;102370.0;80.0;0.9;273.25;99.0;101770.0;4;6
2019-11-30 12:00:00;102290.0;110.0;2.7;279.05;83.0;101710.0;4;6
2019-11-30 15:00:00;102130.0;60.0;4.2;278.85;80.0;101550.0;4;6
2019-11-30 18:00:00;102170.0;70.0;3.2;277.55;83.0;101580.0;4;6
2019-11-30 21:00:00;102110.0;70.0;3.6;276.65;85.0;101520.0;4;6
2019-11-29 00:00:00;100340.0;270.0;2.1;281.45;97.0;99770.0;3;4
2019-11-29 03:00:00;100570.0;350.0;3.9;280.65;91.0;100000.0;3;4
2019-11-29 06:00:00;100850.0;280.0;2.0;279.85;95.0;100280.0;3;4
2019-11-29 09:00:00;101190.0;310.0;1.9;279.45;90.0;100610.0;3;4
2019-11-29 12:00:00;101480.0;310.0;3.0;281.65;73.0;100910.0;3;4
2019-11-29 15:00:00;101700.0;320.0;3.3;281.05;71.0;101120.0;3;4
2019-11-29 18:00:00;101940.0;280.0;3.5;278.65;85.0;101360.0;3;4
2019-11-29 21:00:00;102140.0;0.0;0.0;277.15;91.0;101550.0;3;4
2019-11-28 00:00:00;98970.0;210.0;8.1;282.85;85.0;98410.0;3;3
2019-11-28 03:00:00;99060.0;220.0;8.3;282.75;88.0;98500.0;3;3
2019-11-28 06:00:00;99130.0;220.0;8.2;282.55;91.0;98570.0;3;3
2019-11-28 09:00:00;99330.0;230.0;7.8;282.85;93.0;98770.0;3;3
2019-11-28 12:00:00;99490.0;250.0;7.9;284.35;80.0;98930.0;3;3
2019-11-28 15:00:00;99680.0;250.0;6.6;283.75;79.0;99120.0;3;3
2019-11-28 18:00:00;99890.0;260.0;5.6;282.75;84.0;99330.0;3;3
2019-11-28 21:00:00;100130.0;270.0;4.4;282.15;96.0;99560.0;3;3
2019-11-27 00:00:00;99230.0;140.0;5.4;283.85;95.0;98670.0;3;3
2019-11-27 03:00:00;98810.0;130.0;7.0;283.25;97.0;98250.0;3;3
2019-11-27 06:00:00;98720.0;190.0;9.1;283.55;87.0;98170.0;3;3
2019-11-27 09:00:00;98830.0;180.0;8.5;283.65;84.0;98280.0;3;3
2019-11-27 12:00:00;98730.0;190.0;8.3;284.15;82.0;98180.0;3;3
2019-11-27 15:00:00;98590.0;190.0;9.4;283.95;89.0;98040.0;3;3
2019-11-27 18:00:00;98610.0;200.0;10.8;283.95;86.0;98060.0;3;3
2019-11-27 21:00:00;98780.0;210.0;9.6;283.55;89.0;98230.0;3;3
2019-11-26 00:00:00;100530.0;160.0;4.0;282.55;97.0;99960.0;2;3
2019-11-26 03:00:00;100410.0;170.0;3.4;283.25;98.0;99850.0;2;3
2019-11-26 06:00:00;100270.0;180.0;4.2;283.55;95.0;99710.0;2;3
2019-11-26 09:00:00;100240.0;180.0;7.6;283.95;88.0;99680.0;2;3
2019-11-26 12:00:00;100060.0;170.0;7.0;283.95;92.0;99500.0;2;3
2019-11-26 15:00:00;99890.0;160.0;5.8;284.85;89.0;99330.0;2;3
2019-11-26 18:00:00;99770.0;160.0;6.6;284.55;90.0;99210.0;2;3
2019-11-26 21:00:00;99590.0;140.0;3.5;284.35;91.0;99030.0;2;3
2019-11-25 00:00:00;100800.0;130.0;2.9;279.85;97.0;100230.0;2;2
2019-11-25 03:00:00;100740.0;140.0;3.1;279.35;95.0;100170.0;2;2
2019-11-25 06:00:00;100760.0;150.0;4.4;280.75;93.0;100190.0;2;2
2019-11-25 09:00:00;100770.0;160.0;5.6;280.75;95.0;100200.0;2;2
2019-11-25 12:00:00;100690.0;150.0;5.2;282.15;89.0;100120.0;2;2
2019-11-25 15:00:00;100600.0;150.0;5.7;283.95;80.0;100040.0;2;2
2019-11-25 18:00:00;100610.0;150.0;4.7;282.65;85.0;100040.0;2;2
2019-11-25 21:00:00;100580.0;160.0;4.1;282.65;86.0;100010.0;2;2
2019-11-24 00:00:00;100100.0;140.0;0.9;278.75;89.0;99530.0;4;2
2019-11-24 03:00:00;100240.0;110.0;2.2;277.25;94.0;99660.0;4;2
2019-11-24 06:00:00;100450.0;150.0;2.4;279.65;99.0;99880.0;4;2
2019-11-24 09:00:00;100650.0;220.0;2.1;279.85;100.0;100080.0;4;2
2019-11-24 12:00:00;100730.0;200.0;3.1;280.85;99.0;100160.0;4;2
2019-11-24 15:00:00;100740.0;200.0;3.4;282.45;92.0;100170.0;4;2
2019-11-24 18:00:00;100800.0;140.0;3.9;281.85;95.0;100230.0;4;2
2019-11-24 21:00:00;100830.0;200.0;2.7;280.15;91.0;100260.0;4;2
2019-11-23 00:00:00;99440.0;100.0;6.2;282.55;78.0;98880.0;3;4
2019-11-23 03:00:00;99320.0;110.0;5.3;283.05;77.0;98760.0;3;4
2019-11-23 06:00:00;99350.0;100.0;3.9;281.85;90.0;98790.0;3;4
2019-11-23 09:00:00;99480.0;140.0;6.1;284.25;79.0;98920.0;3;4
2019-11-23 12:00:00;99480.0;70.0;6.2;282.75;79.0;98920.0;3;4
2019-11-23 15:00:00;99560.0;70.0;2.9;281.75;77.0;99000.0;3;4
2019-11-23 18:00:00;99730.0;70.0;3.5;280.15;83.0;99160.0;3;4
2019-11-23 21:00:00;99940.0;100.0;2.6;279.05;87.0;99370.0;3;4
2019-11-22 00:00:00;100200.0;130.0;3.0;279.25;92.0;99630.0;3;3
2019-11-22 03:00:00;100190.0;150.0;4.6;279.95;88.0;99620.0;3;3
2019-11-22 06:00:00;100190.0;160.0;6.7;280.55;86.0;99620.0;3;3
2019-11-22 09:00:00;100230.0;150.0;5.1;280.65;83.0;99660.0;3;3
2019-11-22 12:00:00;100100.0;140.0;6.0;283.45;73.0;99540.0;3;3
2019-11-22 15:00:00;99910.0;100.0;4.2;282.65;74.0;99350.0;3;3
2019-11-22 18:00:00;99770.0;90.0;5.9;280.85;82.0;99200.0;3;3
2019-11-22 21:00:00;99640.0;100.0;6.6;281.85;76.0;99080.0;3;3
2019-11-21 00:00:00;101020.0;70.0;3.7;272.25;91.0;100430.0;4;3
2019-11-21 03:00:00;100880.0;70.0;4.0;272.75;92.0;100290.0;4;3
2019-11-21 06:00:00;100810.0;110.0;3.2;273.15;93.0;100220.0;4;3
2019-11-21 09:00:00;100760.0;100.0;2.7;274.35;95.0;100170.0;4;3
2019-11-21 12:00:00;100580.0;120.0;3.7;276.65;90.0;100000.0;4;3
2019-11-21 15:00:00;100410.0;110.0;2.4;279.35;82.0;99840.0;4;3
2019-11-21 18:00:00;100380.0;70.0;2.8;276.45;91.0;99800.0;4;3
2019-11-21 21:00:00;100320.0;130.0;3.4;277.45;92.0;99740.0;4;3
2019-11-20 00:00:00;101850.0;100.0;1.3;274.45;95.0;101260.0;3;4
2019-11-20 03:00:00;101810.0;120.0;2.7;272.35;95.0;101210.0;3;4
2019-11-20 06:00:00;101740.0;110.0;1.0;271.75;94.0;101140.0;3;4
2019-11-20 09:00:00;101720.0;120.0;2.4;274.15;89.0;101130.0;3;4
2019-11-20 12:00:00;101530.0;100.0;3.9;277.95;77.0;100950.0;3;4
2019-11-20 15:00:00;101310.0;90.0;4.8;278.35;75.0;100730.0;3;4
2019-11-20 18:00:00;101220.0;70.0;3.7;275.25;86.0;100630.0;3;4
2019-11-20 21:00:00;101180.0;70.0;3.2;273.35;91.0;100590.0;3;4
2019-11-19 00:00:00;101610.0;260.0;3.6;277.15;90.0;101030.0;3;3
2019-11-19 03:00:00;101650.0;260.0;4.1;275.45;95.0;101060.0;3;3
2019-11-19 06:00:00;101710.0;230.0;2.7;274.55;97.0;101120.0;3;3
2019-11-19 09:00:00;101840.0;230.0;1.7;275.95;93.0;101250.0;3;3
2019-11-19 12:00:00;101850.0;230.0;1.9;279.55;71.0;101270.0;3;3
2019-11-19 15:00:00;101830.0;190.0;1.1;279.95;69.0;101250.0;3;3
2019-11-19 18:00:00;101880.0;140.0;2.3;276.45;85.0;101290.0;3;3
2019-11-19 21:00:00;101890.0;130.0;1.4;274.85;95.0;101300.0;3;3
2019-11-18 00:00:00;101040.0;300.0;3.6;276.65;88.0;100460.0;5;3
2019-11-18 03:00:00;101020.0;290.0;2.2;276.05;92.0;100440.0;5;3
2019-11-18 06:00:00;101020.0;290.0;1.9;277.05;91.0;100440.0;5;3
2019-11-18 09:00:00;101070.0;270.0;1.3;278.45;96.0;100490.0;5;3
2019-11-18 12:00:00;101030.0;280.0;4.3;280.55;94.0;100460.0;5;3
2019-11-18 15:00:00;101140.0;320.0;5.9;281.45;87.0;100570.0;5;3
2019-11-18 18:00:00;101290.0;290.0;4.6;279.55;84.0;100710.0;5;3
2019-11-18 21:00:00;101500.0;270.0;3.2;278.65;87.0;100920.0;5;3
2019-11-17 00:00:00;101060.0;160.0;2.0;278.55;88.0;100480.0;3;5
2019-11-17 03:00:00;101020.0;70.0;0.9;276.25;92.0;100440.0;3;5
2019-11-17 06:00:00;101090.0;120.0;1.4;276.55;95.0;100510.0;3;5
2019-11-17 09:00:00;101160.0;110.0;1.9;277.55;89.0;100580.0;3;5
2019-11-17 12:00:00;101070.0;40.0;3.1;281.45;67.0;100500.0;3;5
2019-11-17 15:00:00;101080.0;30.0;2.6;280.55;70.0;100510.0;3;5
2019-11-17 18:00:00;101090.0;350.0;2.0;278.75;79.0;100510.0;3;5
2019-11-17 21:00:00;101070.0;330.0;3.2;277.75;85.0;100490.0;3;5
2019-11-16 00:00:00;100330.0;70.0;3.5;275.85;90.0;99750.0;2;3
2019-11-16 03:00:00;100410.0;90.0;4.5;277.25;87.0;99830.0;2;3
2019-11-16 06:00:00;100510.0;130.0;3.1;276.95;86.0;99930.0;2;3
2019-11-16 09:00:00;100680.0;140.0;3.8;277.15;85.0;100100.0;2;3
2019-11-16 12:00:00;100720.0;150.0;3.7;279.05;81.0;100140.0;2;3
2019-11-16 15:00:00;100780.0;160.0;3.1;279.85;79.0;100210.0;2;3
2019-11-16 18:00:00;100970.0;160.0;1.7;279.15;85.0;100390.0;2;3
2019-11-16 21:00:00;101020.0;130.0;2.5;278.75;88.0;100440.0;2;3
2019-11-15 00:00:00;100220.0;30.0;3.5;277.35;92.0;99640.0;3;2
2019-11-15 03:00:00;100020.0;340.0;3.5;277.75;92.0;99450.0;3;2
2019-11-15 06:00:00;99860.0;340.0;3.7;278.35;87.0;99290.0;3;2
2019-11-15 09:00:00;100000.0;30.0;6.1;277.25;87.0;99420.0;3;2
2019-11-15 12:00:00;99950.0;60.0;5.9;276.85;88.0;99370.0;3;2
2019-11-15 15:00:00;99880.0;70.0;3.9;277.15;86.0;99310.0;3;2
2019-11-15 18:00:00;100010.0;110.0;4.3;277.55;86.0;99440.0;3;2
2019-11-15 21:00:00;100140.0;120.0;5.1;277.45;85.0;99560.0;3;2
2019-11-14 00:00:00;99590.0;130.0;6.3;278.25;90.0;99020.0;2;3
2019-11-14 03:00:00;99380.0;130.0;7.1;278.95;85.0;98810.0;2;3
2019-11-14 06:00:00;99490.0;150.0;8.4;277.55;89.0;98920.0;2;3
2019-11-14 09:00:00;99730.0;140.0;5.7;278.25;92.0;99160.0;2;3
2019-11-14 12:00:00;99880.0;170.0;4.4;279.85;73.0;99310.0;2;3
2019-11-14 15:00:00;99990.0;130.0;3.6;279.85;77.0;99420.0;2;3
