numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20191201000000;101760;-60;8;70;6.700000;276.850000;273.550000;79;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100860;mq;mq;-520;mq;mq;mq;mq;275.250000;mq;mq;9.000000;9.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20191201000000;101970;-140;5;50;4.500000;275.950000;273.950000;87;12230;0;mq;mq;100;8;5940;mq;mq;mq;101380;mq;mq;-280;mq;mq;mq;mq;274.150000;mq;mq;6.900000;7.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;7;mq;5940;8;mq;6960;mq;mq;mq;mq;mq;mq;
07020;20191201000000;101500;-10;8;70;10.700000;281.850000;277.650000;75;10000;3;2;mq;100;8;800;35;mq;mq;101390;mq;mq;-420;mq;mq;mq;mq;mq;mq;mq;13.800000;14.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;6;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20191201000000;101450;-70;8;60;4.400000;278.050000;274.850000;80;30180;0;mq;mq;100;8;2700;mq;mq;mq;100620;mq;mq;-650;mq;mq;mq;mq;277.450000;mq;mq;7.900000;8.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;2700;mq;8;mq;mq;mq;mq;mq;mq;mq;
07037;20191201000000;101560;-120;6;80;6.600000;276.650000;274.150000;84;39540;0;mq;mq;100;8;3960;mq;mq;mq;99680;mq;mq;-670;mq;mq;mq;mq;277.150000;mq;mq;9.100000;11.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;3960;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20191201000000;101720;-90;6;80;1.900000;274.850000;273.250000;89;20000;0;mq;mq;100;8;4920;mq;mq;mq;100530;mq;mq;-560;mq;mq;mq;mq;273.450000;mq;mq;2.500000;5.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;4920;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20191201000000;101290;110;1;50;4.800000;280.250000;278.850000;91;30300;0;mq;mq;100;2;1250;mq;mq;mq;100090;mq;mq;-340;mq;mq;mq;mq;281.650000;mq;mq;6.800000;8.500000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;1.200000;13.700000;mq;mq;mq;mq;2;mq;1440;4;mq;1620;8;mq;4320;mq;mq;mq;
07117;20191201000000;101320;40;3;80;5.100000;281.150000;280.350000;95;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100610;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;9.800000;-10;mq;mq;mq;mq;mq;2.000000;3.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20191201000000;101150;10;3;40;5.900000;279.350000;278.150000;92;18060;0;mq;mq;100;8;250;mq;mq;mq;100700;mq;mq;-770;mq;mq;mq;mq;280.150000;mq;mq;9.000000;9.900000;-10;2;0.000000;mq;mq;-0.100000;2.000000;5.000000;11.500000;11.500000;mq;mq;mq;mq;8;mq;270;mq;8;mq;mq;mq;mq;mq;mq;mq;
07139;20191201000000;101300;-40;8;40;4.800000;277.450000;275.750000;89;13520;61;mq;mq;100;8;1250;mq;mq;mq;99520;mq;mq;-810;mq;mq;mq;mq;280.250000;mq;mq;7.700000;8.000000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;0.400000;mq;mq;mq;mq;5;mq;1140;8;mq;1320;mq;mq;mq;mq;mq;mq;
07149;20191201000000;101510;-110;6;90;5.800000;277.850000;274.150000;77;17230;2;2;2;100;7;3800;30;27;mq;100400;mq;mq;-730;mq;mq;mq;mq;mq;mq;mq;8.400000;9.700000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;3;3800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
